date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,32.36,40.82,36.14,68.0,0.11,100.0,0.24,"Snow, Rain, Overcast"
2023-01-02,23.36,37.94,31.28,57.7,0.0,0.0,0.01,Partially cloudy
2023-01-03,18.68,44.96,30.2,73.7,0.05,100.0,0.03,"Snow, Rain"
2023-01-04,23.0,45.32,34.88,82.4,0.05,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-05,30.02,44.96,39.2,83.6,0.5,100.0,0.11,"Snow, Rain, Partially cloudy"
2023-01-06,14.0,48.02,32.0,73.0,0.0,0.0,0.0,Clear
2023-01-07,22.82,47.12,33.26,71.0,0.0,0.0,0.0,Clear
2023-01-08,29.66,43.52,35.6,81.7,0.11,100.0,0.19,"Snow, Rain, Partially cloudy"
2023-01-09,30.74,43.88,39.02,91.6,2.7,100.0,0.06,"Snow, Rain, Overcast"
2023-01-10,29.48,42.08,36.32,90.3,1.06,100.0,0.54,"Snow, Rain, Overcast"
2023-01-11,25.88,37.94,31.28,88.5,0.0,0.0,0.0,Overcast
2023-01-12,24.8,43.16,33.44,80.6,0.0,0.0,0.0,Clear
2023-01-13,25.88,46.58,33.08,79.7,0.0,0.0,0.0,Clear
2023-01-14,27.32,42.08,34.7,83.5,0.28,100.0,0.18,"Snow, Rain, Partially cloudy"
2023-01-15,30.56,40.28,34.7,79.9,0.18,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-01-16,30.56,43.16,34.88,75.0,0.28,100.0,0.44,"Snow, Rain, Partially cloudy"
2023-01-17,28.94,42.62,33.98,52.8,0.01,0.0,0.0,Partially cloudy
2023-01-18,16.88,43.16,27.68,55.5,0.0,0.0,0.0,Clear
2023-01-19,23.18,39.2,30.56,60.3,0.0,0.0,0.03,Partially cloudy
2023-01-20,20.48,41.18,28.4,52.7,0.0,0.0,0.0,Clear
2023-01-21,-14.8,53.06,28.04,50.5,0.0,0.0,0.0,Clear
2023-01-22,19.94,41.9,31.82,52.8,0.0,0.0,0.0,Partially cloudy
2023-01-23,26.06,43.16,32.9,46.2,0.0,0.0,0.0,Clear
2023-01-24,25.7,54.86,38.3,37.3,0.0,0.0,0.0,Clear
2023-01-25,27.86,50.9,41.0,42.0,0.0,0.0,0.0,Clear
2023-01-26,28.76,51.62,38.3,47.6,0.0,0.0,0.0,Clear
2023-01-27,15.62,57.92,35.6,45.8,0.0,0.0,0.0,Clear
2023-01-28,21.74,49.46,35.42,52.3,0.0,0.0,0.0,Clear
2023-01-29,18.5,46.4,31.46,60.7,0.0,0.0,0.01,Partially cloudy
2023-01-30,20.48,36.68,28.58,43.9,0.0,0.0,0.03,Partially cloudy
2023-01-31,12.38,48.92,26.24,40.0,0.0,0.0,0.0,Clear
2023-02-01,15.8,56.12,27.68,45.2,0.0,0.0,0.0,Clear
2023-02-02,16.88,53.96,34.34,51.2,0.0,0.0,0.0,Clear
2023-02-03,21.02,52.34,34.7,54.4,0.0,0.0,0.0,Clear
2023-02-04,18.86,52.7,34.16,56.7,0.0,0.0,0.0,Clear
2023-02-05,29.12,48.2,38.48,54.9,0.16,100.0,0.17,"Snow, Rain, Partially cloudy"
