date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,34.88,43.88,38.3,66.2,0.14,100.0,0.22,"Snow, Rain, Overcast"
2023-01-02,26.78,39.74,34.34,55.0,0.0,0.0,0.01,Partially cloudy
2023-01-03,21.56,44.96,32.0,73.0,0.0,0.0,0.03,Clear
2023-01-04,24.98,46.94,36.68,81.9,0.03,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-05,30.74,47.66,40.82,82.8,0.52,100.0,0.02,"Snow, Rain, Partially cloudy"
2023-01-06,14.0,48.02,33.44,73.6,0.0,0.0,0.0,Clear
2023-01-07,24.98,47.12,34.88,71.0,0.0,0.0,0.0,Clear
2023-01-08,29.84,46.04,36.68,81.0,0.12,100.0,0.19,"Snow, Rain, Partially cloudy"
2023-01-09,30.74,46.04,40.46,90.7,3.0,100.0,0.02,"Snow, Rain, Overcast"
2023-01-10,31.82,42.98,37.94,90.1,1.22,100.0,0.27,"Snow, Rain, Overcast"
2023-01-11,28.76,39.74,33.44,89.5,0.0,0.0,0.0,Overcast
2023-01-12,28.76,45.86,36.14,79.5,0.0,0.0,0.0,Clear
2023-01-13,28.76,49.82,35.06,79.2,0.0,0.0,0.0,Clear
2023-01-14,26.96,44.78,35.6,84.5,0.24,100.0,0.18,"Snow, Rain, Partially cloudy"
2023-01-15,31.82,42.08,36.86,81.8,0.07,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-01-16,33.08,46.76,36.68,74.8,0.23,100.0,0.37,"Snow, Rain, Partially cloudy"
2023-01-17,31.82,44.06,36.68,50.7,0.0,0.0,0.0,Partially cloudy
2023-01-18,21.56,43.88,31.28,53.6,0.0,0.0,0.0,Clear
2023-01-19,21.92,42.8,32.18,59.5,0.0,0.0,0.03,Partially cloudy
2023-01-20,24.8,42.98,31.28,50.9,0.0,0.0,0.0,Clear
2023-01-21,-14.8,53.78,30.74,49.0,0.0,0.0,0.0,Clear
2023-01-22,21.74,43.88,32.72,54.1,0.0,0.0,0.0,Partially cloudy
2023-01-23,28.04,44.06,34.52,45.0,0.0,0.0,0.0,Clear
2023-01-24,26.96,56.84,40.28,36.1,0.0,0.0,0.0,Clear
2023-01-25,28.94,51.98,42.8,40.5,0.0,0.0,0.0,Clear
2023-01-26,30.74,53.78,39.92,46.3,0.0,0.0,0.0,Clear
2023-01-27,17.06,58.82,37.94,44.8,0.0,0.0,0.0,Clear
2023-01-28,24.08,51.98,38.12,50.4,0.0,0.0,0.0,Clear
2023-01-29,19.94,47.84,33.44,60.2,0.0,0.0,0.01,Partially cloudy
2023-01-30,23.9,37.94,30.74,41.3,0.0,0.0,0.03,Partially cloudy
2023-01-31,13.82,48.92,28.58,39.0,0.0,0.0,0.0,Clear
2023-02-01,15.8,56.12,29.48,43.8,0.0,0.0,0.0,Clear
2023-02-02,20.66,53.96,37.94,48.5,0.0,0.0,0.0,Clear
2023-02-03,22.82,55.76,37.58,52.5,0.0,0.0,0.0,Clear
2023-02-04,21.56,56.66,36.68,55.0,0.0,0.0,0.0,Clear
2023-02-05,32.9,51.08,41.36,53.2,0.16,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-02-06,29.66,49.82,38.84,45.7,0.0,0.0,0.0,Clear
2023-02-07,24.98,60.8,39.92,45.8,0.0,0.0,0.0,Clear
2023-02-08,26.78,64.76,44.78,36.9,0.0,0.0,0.0,Clear
2023-02-09,28.22,63.86,44.24,41.8,0.0,0.0,0.0,Clear
2023-02-10,24.8,59.9,41.18,47.6,0.0,0.0,0.0,Clear
2023-02-11,26.78,54.86,42.26,30.8,0.0,0.0,0.0,Partially cloudy
2023-02-12,28.04,56.66,41.72,39.3,0.0,0.0,0.0,Clear
2023-02-13,28.04,62.6,42.98,38.2,0.0,0.0,0.0,Clear
2023-02-14,22.82,49.82,37.22,31.0,0.0,0.0,0.01,Partially cloudy
2023-02-15,19.94,44.78,30.92,36.7,0.0,0.0,0.0,Clear
2023-02-16,-8.5,46.76,26.78,35.0,0.0,0.0,0.0,Clear
2023-02-17,18.86,49.64,32.9,35.8,0.0,0.0,0.0,Clear
2023-02-18,8.06,53.6,30.92,41.7,0.0,0.0,0.0,Clear
2023-02-19,19.76,62.6,37.04,42.8,0.0,0.0,0.0,Clear
2023-02-20,30.56,68.9,47.48,35.6,0.0,0.0,0.0,Clear
2023-02-21,28.04,65.66,43.34,45.9,0.0,0.0,0.0,Partially cloudy
2023-02-22,17.06,39.56,30.74,38.2,0.0,0.0,0.06,Partially cloudy
2023-02-23,19.04,42.98,30.74,35.5,0.0,0.0,0.02,Partially cloudy
2023-02-24,28.04,34.88,31.64,80.0,0.53,100.0,0.37,"Snow, Rain, Overcast"
