date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2025-01-01,30.92,39.38,34.52,69.0,0.0,0.0,0.0,Clear
2025-01-02,33.8,38.12,35.6,78.4,0.0,0.0,0.01,Overcast
2025-01-03,32.0,42.98,36.86,43.1,0.01,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-01-04,26.42,33.26,29.3,53.4,0.0,0.0,0.0,Partially cloudy
2025-01-05,28.76,35.42,32.36,74.2,0.0,0.0,0.01,Overcast
2025-01-06,32.72,35.06,33.98,95.4,0.47,100.0,0.39,"Snow, Rain, Overcast"
2025-01-07,31.82,37.4,33.62,86.2,0.49,100.0,0.11,"Snow, Rain, Partially cloudy"
2025-01-08,30.74,38.84,34.88,83.0,0.0,0.0,0.02,Overcast
2025-01-09,35.96,42.44,37.58,95.5,0.16,100.0,0.02,"Rain, Overcast"
2025-01-10,32.36,40.28,37.04,57.0,0.02,100.0,0.02,"Snow, Rain, Partially cloudy"
2025-01-11,28.22,35.42,31.28,75.3,0.0,0.0,0.0,Partially cloudy
2025-01-12,28.76,38.84,33.26,38.6,0.0,0.0,0.0,Clear
2025-01-13,26.78,38.3,32.0,45.0,0.0,0.0,0.0,Clear
2025-01-14,24.44,35.96,29.84,56.9,0.0,0.0,0.0,Clear
2025-01-15,28.76,43.7,35.06,48.7,0.0,0.0,0.0,Partially cloudy
2025-01-16,27.68,37.22,31.1,57.8,0.0,0.0,0.0,Clear
2025-01-17,25.88,36.86,30.38,68.7,0.0,0.0,0.0,Clear
2025-01-18,30.38,45.5,35.96,51.3,0.0,0.0,0.0,Clear
2025-01-19,33.62,37.58,35.24,72.6,0.02,0.0,0.06,Partially cloudy
2025-01-20,33.26,37.76,35.42,93.4,0.19,100.0,0.04,"Snow, Rain, Overcast"
2025-01-21,33.62,42.08,36.32,91.0,0.23,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-01-22,32.54,39.2,34.88,92.0,0.01,0.0,0.06,Overcast
2025-01-23,34.16,42.98,37.94,90.0,0.07,100.0,0.04,"Snow, Rain, Partially cloudy"
2025-01-24,34.34,44.24,37.94,58.7,0.0,0.0,0.0,Partially cloudy
2025-01-25,33.8,40.1,36.86,85.4,0.03,0.0,0.04,Overcast
2025-01-26,35.42,41.0,37.76,91.2,1.08,100.0,0.22,"Snow, Rain, Partially cloudy"
2025-01-27,35.6,38.12,36.86,96.3,0.34,100.0,0.35,"Rain, Overcast"
2025-01-28,34.88,39.02,36.68,87.4,1.44,100.0,0.35,"Snow, Rain, Partially cloudy"
2025-01-29,32.18,41.54,35.96,75.4,0.26,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-01-30,33.62,39.02,36.14,90.2,0.0,0.0,0.05,Partially cloudy
2025-01-31,31.64,40.82,36.14,81.3,0.0,0.0,0.01,Partially cloudy
2025-02-01,35.6,38.84,37.04,95.6,0.2,100.0,0.06,"Rain, Overcast"
2025-02-02,33.98,44.06,37.76,86.3,0.12,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-03,33.08,46.76,37.94,64.6,0.0,0.0,0.0,Clear
2025-02-04,32.18,41.9,36.5,67.5,0.0,0.0,0.0,Clear
2025-02-05,33.44,47.48,39.2,52.1,0.0,0.0,0.0,Clear
2025-02-06,32.0,45.32,37.22,53.5,0.0,0.0,0.0,Clear
2025-02-07,28.04,35.24,32.0,77.6,0.0,0.0,0.0,Partially cloudy
2025-02-08,31.64,33.62,32.9,89.5,0.05,0.0,0.06,Overcast
2025-02-09,33.44,37.94,35.96,95.5,0.37,100.0,0.07,"Snow, Rain, Overcast"
2025-02-10,36.68,44.24,39.56,91.9,0.12,100.0,0.02,"Rain, Overcast"
2025-02-11,38.48,44.6,39.92,95.8,0.03,0.0,0.01,Overcast
2025-02-12,37.94,42.44,39.56,93.5,0.07,100.0,0.02,"Rain, Overcast"
2025-02-13,37.76,42.8,39.74,90.2,0.0,0.0,0.0,Partially cloudy
2025-02-14,33.08,40.28,36.68,49.1,0.02,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-15,27.86,42.08,33.8,48.5,0.0,0.0,0.0,Clear
2025-02-16,29.66,42.44,34.7,65.7,0.0,0.0,0.0,Partially cloudy
2025-02-17,30.2,37.58,33.62,72.7,0.0,0.0,0.0,Partially cloudy
2025-02-18,30.74,40.28,34.88,65.5,0.0,0.0,0.0,Partially cloudy
2025-02-19,30.56,32.54,31.64,79.6,0.0,0.0,0.01,Overcast
2025-02-20,30.92,44.96,37.94,69.1,0.0,0.0,0.0,Partially cloudy
2025-02-21,33.8,47.12,39.02,69.9,0.0,0.0,0.0,Partially cloudy
2025-02-22,36.68,41.9,39.56,81.7,0.0,0.0,0.0,Overcast
2025-02-23,37.04,49.64,42.26,75.2,0.0,0.0,0.0,Partially cloudy
2025-02-24,36.86,48.56,42.44,76.4,0.0,0.0,0.0,Partially cloudy
2025-02-25,39.2,42.44,40.1,93.0,0.06,100.0,0.01,"Rain, Overcast"
2025-02-26,35.78,50.9,42.44,59.9,0.36,100.0,0.01,"Rain, Partially cloudy"
2025-02-27,34.16,48.2,40.1,47.6,0.0,0.0,0.0,Clear
2025-02-28,32.9,47.3,39.56,53.3,0.0,0.0,0.0,Partially cloudy
2025-03-01,33.08,42.26,36.32,84.1,0.52,100.0,0.01,"Snow, Rain, Partially cloudy"
2025-03-02,32.18,46.94,38.48,71.9,0.05,100.0,0.0,"Snow, Rain, Partially cloudy"
2025-03-03,32.36,50.0,39.74,54.7,0.0,0.0,0.0,Clear
2025-03-04,34.52,51.62,41.72,53.7,0.0,0.0,0.0,Clear
2025-03-05,37.04,54.5,43.88,51.6,0.0,0.0,0.0,Clear
2025-03-06,36.32,53.24,43.16,55.0,0.0,0.0,0.0,Clear
2025-03-07,35.96,53.06,43.16,53.9,0.0,0.0,0.0,Clear
2025-03-08,35.78,53.6,43.52,52.8,0.0,0.0,0.0,Clear
2025-03-09,36.68,50.54,43.52,55.2,0.0,0.0,0.0,Partially cloudy
2025-03-10,38.66,42.26,40.28,92.3,0.31,100.0,0.17,"Rain, Overcast"
2025-03-11,38.3,45.86,41.36,89.2,0.07,100.0,0.0,"Rain, Overcast"
2025-03-12,38.84,41.18,39.92,94.9,0.49,100.0,0.11,"Rain, Overcast"
2025-03-13,37.58,43.7,39.92,93.3,0.23,100.0,0.02,"Rain, Overcast"
2025-03-14,36.5,41.18,38.84,94.4,1.05,100.0,0.11,"Rain, Overcast"
2025-03-15,38.84,46.94,41.0,94.8,0.51,100.0,0.0,"Rain, Overcast"
2025-03-16,38.48,44.6,40.82,86.0,0.32,100.0,0.02,"Rain, Partially cloudy"
2025-03-17,34.88,52.52,42.62,60.1,0.0,0.0,0.0,Clear
2025-03-18,35.06,39.2,36.86,79.7,0.05,100.0,0.17,"Rain, Partially cloudy"
2025-03-19,32.72,47.48,39.2,62.3,0.0,0.0,0.0,Partially cloudy
2025-03-20,33.44,50.9,41.36,57.4,0.0,0.0,0.0,Partially cloudy
2025-03-21,36.32,47.3,41.9,66.5,0.0,0.0,0.0,Overcast
2025-03-22,38.84,45.68,40.46,95.6,0.27,100.0,0.02,"Rain, Overcast"
2025-03-23,37.22,49.82,41.72,91.5,0.8,100.0,0.09,"Rain, Overcast"
2025-03-24,39.56,50.0,44.24,82.7,0.0,0.0,0.0,Partially cloudy
2025-03-25,39.38,55.76,46.94,67.9,0.0,0.0,0.0,Partially cloudy
2025-03-26,41.36,56.66,48.92,58.0,0.0,0.0,0.0,Partially cloudy
2025-03-27,42.8,60.08,50.54,46.9,0.0,0.0,0.0,Clear
2025-03-28,38.48,61.88,48.56,55.8,0.0,0.0,0.0,Partially cloudy
2025-03-29,46.76,56.84,51.62,40.2,0.0,0.0,0.0,Partially cloudy
2025-03-30,49.64,63.32,56.12,30.3,0.0,0.0,0.0,Partially cloudy
2025-03-31,46.58,65.12,52.34,28.7,0.0,0.0,0.0,Partially cloudy
2025-04-01,39.92,52.88,46.22,32.8,0.0,0.0,0.0,Partially cloudy
2025-04-02,41.9,52.52,46.04,54.7,0.0,0.0,0.0,Partially cloudy
2025-04-03,43.88,60.98,51.08,59.4,0.0,0.0,0.0,Partially cloudy
2025-04-04,43.88,62.6,52.16,58.1,0.0,0.0,0.0,Clear
2025-04-05,43.52,66.74,54.14,54.7,0.0,0.0,0.0,Partially cloudy
2025-04-06,46.76,68.18,57.38,34.6,0.0,0.0,0.0,Clear
2025-04-07,40.28,54.68,46.4,53.4,0.0,0.0,0.0,Clear
2025-04-08,39.02,50.54,42.98,66.1,0.0,0.0,0.0,Partially cloudy
2025-04-09,36.68,57.38,45.86,65.5,0.0,0.0,0.0,Partially cloudy
2025-04-10,41.18,61.88,50.72,45.2,0.0,0.0,0.0,Partially cloudy
2025-04-11,43.34,67.64,54.86,45.1,0.0,0.0,0.0,Clear
2025-04-12,45.5,59.36,53.42,58.5,0.0,0.0,0.0,Partially cloudy
2025-04-13,46.58,53.6,49.28,85.5,0.11,100.0,0.0,"Rain, Overcast"
2025-04-14,46.04,55.22,48.38,93.5,0.07,100.0,0.0,"Rain, Overcast"
2025-04-15,46.58,55.04,49.28,94.9,0.49,100.0,0.0,"Rain, Overcast"
2025-04-16,48.2,54.14,50.36,93.2,0.83,100.0,0.0,"Rain, Overcast"
2025-04-17,46.04,53.78,49.46,89.9,1.91,100.0,0.0,"Rain, Overcast"
2025-04-18,44.06,56.12,50.0,78.0,0.06,100.0,0.0,"Rain, Partially cloudy"
2025-04-19,46.76,53.42,48.74,91.9,0.12,100.0,0.0,"Rain, Overcast"
2025-04-20,43.88,50.72,46.76,93.4,0.64,100.0,0.0,"Rain, Overcast"
2025-04-21,41.36,57.2,48.92,74.8,0.46,100.0,0.0,"Rain, Partially cloudy"
2025-04-22,43.88,65.66,53.6,59.4,0.0,0.0,0.0,Partially cloudy
2025-04-23,46.04,62.24,52.52,74.9,0.14,100.0,0.0,"Rain, Partially cloudy"
2025-04-24,43.52,60.98,51.08,58.3,0.86,100.0,0.0,"Rain, Partially cloudy"
2025-04-25,43.88,62.96,53.24,46.5,0.0,0.0,0.0,Partially cloudy
2025-04-26,43.88,65.48,54.14,51.0,0.0,0.0,0.0,Partially cloudy
2025-04-27,49.1,58.82,53.24,82.9,0.01,0.0,0.0,Partially cloudy
2025-04-28,48.92,64.58,55.76,73.3,0.0,0.0,0.0,Partially cloudy
2025-04-29,49.28,68.18,57.56,68.2,0.0,0.0,0.0,Partially cloudy
2025-04-30,49.46,70.88,59.36,58.0,0.0,0.0,0.0,Partially cloudy
2025-05-01,51.98,72.14,60.98,59.7,0.0,0.0,0.0,Clear
2025-05-02,52.7,72.5,61.88,55.8,0.0,0.0,0.0,Partially cloudy
2025-05-03,55.4,67.64,60.62,60.8,0.0,0.0,0.0,Partially cloudy
2025-05-04,52.52,66.74,55.94,83.9,0.94,100.0,0.0,"Rain, Partially cloudy"
2025-05-05,47.66,51.8,49.46,93.1,2.61,100.0,0.0,"Rain, Overcast"
2025-05-06,45.5,55.04,50.0,86.9,0.42,100.0,0.0,"Rain, Overcast"
2025-05-07,45.5,54.14,48.74,89.9,1.03,100.0,0.0,"Rain, Overcast"
2025-05-08,44.06,53.96,48.56,85.7,0.12,100.0,0.0,"Rain, Partially cloudy"
2025-05-09,41.72,52.52,45.86,90.0,0.89,100.0,0.0,"Rain, Partially cloudy"
2025-05-10,44.78,58.64,51.26,81.1,0.0,0.0,0.0,Partially cloudy
2025-05-11,46.04,63.68,54.5,72.9,0.0,0.0,0.0,Partially cloudy
2025-05-12,48.56,61.52,54.5,75.8,0.13,100.0,0.0,"Rain, Partially cloudy"
2025-05-13,47.66,60.44,53.42,80.6,0.17,100.0,0.0,"Rain, Partially cloudy"
2025-05-14,48.56,63.5,55.22,77.5,0.05,100.0,0.0,"Rain, Partially cloudy"
2025-05-15,49.1,70.7,58.46,54.5,0.0,0.0,0.0,Partially cloudy
2025-05-16,47.12,63.14,55.22,48.7,0.0,0.0,0.0,Clear
2025-05-17,44.78,64.58,54.86,45.9,0.0,0.0,0.0,Clear
2025-05-18,46.04,66.02,56.12,56.4,0.0,0.0,0.0,Partially cloudy
2025-05-19,48.92,66.74,57.56,67.6,0.0,0.0,0.0,Partially cloudy
2025-05-20,53.06,58.1,55.22,87.3,0.1,100.0,0.0,"Rain, Overcast"
2025-05-21,51.26,62.6,56.48,82.0,0.0,0.0,0.0,Partially cloudy
2025-05-22,50.36,65.84,53.96,75.8,0.19,100.0,0.0,"Rain, Overcast"
2025-05-23,48.92,64.4,56.12,39.1,0.08,100.0,0.0,"Rain, Partially cloudy"
2025-05-24,46.04,62.6,54.14,62.1,0.0,0.0,0.0,Partially cloudy
2025-05-25,49.1,64.04,56.48,70.7,0.0,0.0,0.0,Partially cloudy
2025-05-26,52.7,70.16,60.8,61.1,0.04,100.0,0.0,"Rain, Partially cloudy"
2025-05-27,52.88,65.84,58.46,72.5,0.09,100.0,0.0,"Rain, Partially cloudy"
2025-05-28,52.52,67.28,59.54,62.8,0.0,0.0,0.0,Partially cloudy
2025-05-29,54.86,74.12,64.76,42.6,0.04,100.0,0.0,Rain
2025-05-30,58.28,75.02,66.2,53.3,0.0,0.0,0.0,Clear
2025-05-31,55.4,74.48,65.84,66.2,0.0,0.0,0.0,Clear
2025-06-01,61.7,73.76,67.1,74.1,0.0,0.0,0.0,Clear
2025-06-02,58.1,64.58,61.52,91.1,0.95,100.0,0.0,"Rain, Partially cloudy"
