date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,43.34,55.76,48.56,91.9,0.01,0.0,0.0,Partially cloudy
2022-01-02,46.04,55.94,51.8,83.3,0.0,0.0,0.0,Overcast
2022-01-03,50.36,54.14,51.98,90.1,0.21,100.0,0.0,"Rain, Overcast"
2022-01-04,40.1,52.16,48.02,92.3,0.84,100.0,0.0,"Rain, Overcast"
2022-01-05,33.62,43.52,37.94,82.0,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-01-06,31.1,42.98,35.78,87.5,0.0,0.0,0.0,Partially cloudy
2022-01-07,35.96,46.94,40.82,87.8,0.11,100.0,0.0,"Rain, Overcast"
2022-01-08,35.06,46.76,42.08,91.7,0.65,100.0,0.0,"Rain, Partially cloudy"
2022-01-09,36.86,43.7,40.1,91.7,0.17,100.0,0.0,"Rain, Overcast"
2022-01-10,34.34,39.38,37.4,97.1,0.0,0.0,0.0,Overcast
2022-01-11,31.82,36.32,33.98,95.3,0.0,0.0,0.0,Overcast
2022-01-12,30.2,40.1,34.7,93.6,0.0,0.0,0.0,Overcast
2022-01-13,32.18,37.22,34.88,97.2,0.0,0.0,0.0,Partially cloudy
2022-01-14,30.02,42.98,35.06,89.5,0.0,0.0,0.0,Clear
2022-01-15,29.12,44.06,34.34,91.2,0.01,0.0,0.0,Partially cloudy
2022-01-16,30.02,38.48,33.62,97.3,0.01,0.0,0.0,Overcast
2022-01-17,35.78,44.96,40.28,95.6,0.0,0.0,0.0,Partially cloudy
2022-01-18,32.36,48.74,39.56,89.7,0.01,0.0,0.0,Partially cloudy
2022-01-19,36.5,42.08,39.56,93.1,0.04,100.0,0.0,"Rain, Overcast"
2022-01-20,34.16,43.7,38.84,88.6,0.01,0.0,0.0,Partially cloudy
2022-01-21,33.62,42.08,36.86,88.3,0.0,0.0,0.0,Partially cloudy
2022-01-22,34.16,42.62,39.38,83.7,0.0,0.0,0.0,Overcast
2022-01-23,34.7,40.46,38.66,86.9,0.0,0.0,0.0,Overcast
2022-01-24,30.92,43.16,35.42,87.6,0.0,0.0,0.0,Clear
2022-01-25,28.76,33.26,31.28,98.9,0.0,0.0,0.0,Partially cloudy
2022-01-26,31.1,35.78,33.62,94.4,0.0,0.0,0.0,Overcast
2022-01-27,33.8,41.36,37.4,92.6,0.01,0.0,0.0,Overcast
2022-01-28,40.28,45.14,41.54,94.6,0.0,0.0,0.0,Overcast
2022-01-29,41.0,49.1,45.32,95.4,0.01,0.0,0.0,Overcast
2022-01-30,41.54,49.64,45.5,80.4,0.0,0.0,0.0,Partially cloudy
2022-01-31,34.88,46.94,42.98,70.7,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-02-01,33.44,50.36,42.44,90.2,0.03,100.0,0.0,"Rain, Overcast"
2022-02-02,46.58,51.08,49.28,85.3,0.0,0.0,0.0,Overcast
2022-02-03,43.52,46.4,44.96,82.5,0.0,0.0,0.0,Overcast
2022-02-04,35.78,50.9,44.24,88.5,0.03,100.0,0.0,"Rain, Partially cloudy"
2022-02-05,31.82,50.18,39.56,83.0,0.0,0.0,0.0,Partially cloudy
2022-02-06,42.08,50.9,46.76,88.5,0.59,100.0,0.0,"Rain, Overcast"
2022-02-07,37.22,50.36,43.88,72.9,0.01,100.0,0.0,"Rain, Partially cloudy"
2022-02-08,37.22,50.72,44.06,88.3,0.0,0.0,0.0,Partially cloudy
2022-02-09,33.8,56.66,43.16,83.7,0.0,0.0,0.0,Clear
2022-02-10,40.46,49.64,44.42,86.0,0.02,0.0,0.0,Overcast
2022-02-11,33.08,47.12,39.2,83.3,0.0,0.0,0.0,Partially cloudy
2022-02-12,30.74,47.12,37.22,75.2,0.0,0.0,0.0,Partially cloudy
2022-02-13,30.56,56.66,43.34,72.8,0.0,0.0,0.0,Partially cloudy
2022-02-14,41.36,52.7,47.84,81.2,0.28,100.0,0.0,"Rain, Overcast"
2022-02-15,37.76,50.36,44.78,87.9,0.01,0.0,0.0,Partially cloudy
2022-02-16,47.48,58.82,53.42,90.5,0.18,100.0,0.0,"Rain, Overcast"
2022-02-17,47.66,56.48,53.06,70.9,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-02-18,42.98,54.32,50.18,78.8,0.05,100.0,0.0,"Rain, Overcast"
2022-02-19,35.06,50.0,43.88,70.1,0.0,0.0,0.0,Partially cloudy
2022-02-20,45.68,55.04,50.36,80.9,0.01,0.0,0.0,Overcast
2022-02-21,42.26,51.08,46.94,71.0,0.17,100.0,0.0,"Rain, Overcast"
2022-02-22,40.46,52.7,46.94,87.8,0.01,0.0,0.0,Partially cloudy
2022-02-23,37.58,52.34,46.76,82.9,0.0,0.0,0.0,Partially cloudy
2022-02-24,37.58,53.06,45.86,79.2,0.06,100.0,0.0,"Rain, Partially cloudy"
2022-02-25,33.62,50.72,41.36,73.4,0.0,0.0,0.0,Partially cloudy
2022-02-26,30.56,49.1,39.56,75.2,0.0,0.0,0.0,Clear
2022-02-27,32.0,49.64,39.74,65.7,0.0,0.0,0.0,Clear
2022-02-28,29.3,52.34,39.92,65.4,0.0,0.0,0.0,Clear
2022-03-01,33.8,54.68,42.98,68.6,0.0,0.0,0.0,Overcast
2022-03-02,40.28,53.42,45.86,68.5,0.0,0.0,0.0,Overcast
2022-03-03,42.62,53.42,48.02,85.2,0.0,0.0,0.0,Overcast
2022-03-04,42.44,54.14,47.48,83.5,0.0,0.0,0.0,Overcast
2022-03-05,37.04,53.96,45.14,73.7,0.0,0.0,0.0,Partially cloudy
2022-03-06,32.54,46.76,39.56,67.3,0.0,0.0,0.0,Partially cloudy
2022-03-07,30.38,43.88,36.86,60.1,0.0,0.0,0.0,Clear
2022-03-08,30.02,54.5,40.82,60.0,0.0,0.0,0.0,Clear
2022-03-09,34.88,59.72,46.76,68.6,0.0,0.0,0.0,Partially cloudy
2022-03-10,37.94,61.34,49.1,64.9,0.0,0.0,0.0,Partially cloudy
2022-03-11,43.7,56.48,49.1,77.9,0.16,100.0,0.0,"Rain, Partially cloudy"
2022-03-12,41.36,48.92,46.04,88.0,0.03,100.0,0.0,"Rain, Overcast"
2022-03-13,42.98,52.34,47.3,81.1,0.11,100.0,0.0,"Rain, Overcast"
2022-03-14,37.22,57.74,47.3,78.0,0.0,0.0,0.0,Partially cloudy
2022-03-15,46.76,52.52,49.1,92.3,0.1,100.0,0.0,"Rain, Overcast"
2022-03-16,45.32,56.66,50.54,90.4,0.0,0.0,0.0,Overcast
2022-03-17,42.62,51.8,47.3,77.0,0.0,0.0,0.0,Overcast
2022-03-18,39.74,58.46,47.84,57.8,0.0,0.0,0.0,Partially cloudy
2022-03-19,41.9,60.08,50.18,53.0,0.0,0.0,0.0,Clear
2022-03-20,34.52,53.06,44.42,58.9,0.0,0.0,0.0,Partially cloudy
2022-03-21,41.54,64.4,52.34,67.9,0.0,0.0,0.0,Partially cloudy
2022-03-22,42.98,64.4,52.7,55.5,0.0,0.0,0.0,Clear
2022-03-23,37.76,64.22,51.62,51.4,0.0,0.0,0.0,Clear
2022-03-24,40.28,68.18,53.78,48.7,0.0,0.0,0.0,Clear
2022-03-25,41.72,67.1,54.5,45.3,0.0,0.0,0.0,Clear
2022-03-26,41.18,66.38,54.5,46.9,0.0,0.0,0.0,Clear
2022-03-27,43.52,69.26,55.76,50.1,0.0,0.0,0.0,Clear
2022-03-28,40.82,69.98,55.22,55.3,0.0,0.0,0.0,Partially cloudy
2022-03-29,51.08,62.96,54.86,63.1,0.01,0.0,0.0,Overcast
2022-03-30,47.48,57.38,50.9,89.1,0.11,100.0,0.0,"Rain, Overcast"
2022-03-31,38.48,46.22,42.62,82.6,0.33,100.0,0.0,"Rain, Overcast"
2022-04-01,33.08,37.94,35.6,83.6,0.08,100.0,0.01,"Snow, Rain, Overcast"
2022-04-02,32.36,43.52,38.12,63.2,0.0,0.0,0.0,Partially cloudy
2022-04-03,32.54,46.76,40.1,56.4,0.0,0.0,0.0,Partially cloudy
2022-04-04,29.84,51.62,41.54,65.5,0.0,0.0,0.0,Partially cloudy
2022-04-05,44.78,54.86,49.28,85.2,0.02,0.0,0.0,Overcast
