date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,45.5,53.42,48.92,93.5,0.19,100.0,0.0,"Rain, Overcast"
2022-01-02,33.26,49.64,41.72,90.5,0.09,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-01-03,17.78,30.92,24.08,63.3,0.0,0.0,0.0,Clear
2022-01-04,12.92,32.36,21.92,66.5,0.0,0.0,0.0,Clear
2022-01-05,21.74,37.04,28.4,84.2,0.02,0.0,0.0,Partially cloudy
2022-01-06,25.52,36.14,30.92,68.5,0.0,0.0,0.03,Partially cloudy
2022-01-07,22.28,32.72,27.68,67.6,0.13,100.0,0.07,"Snow, Rain, Partially cloudy"
2022-01-08,10.4,28.4,19.4,55.2,0.0,0.0,0.0,Clear
2022-01-09,14.18,35.42,29.12,80.4,0.2,100.0,0.0,"Snow, Rain, Overcast"
2022-01-10,17.06,36.5,25.52,56.4,0.0,0.0,0.0,Partially cloudy
2022-01-11,6.8,20.3,13.46,51.7,0.0,0.0,0.0,Clear
2022-01-12,8.42,32.72,22.46,61.4,0.0,0.0,0.0,Clear
2022-01-13,24.62,42.8,31.82,73.2,0.0,0.0,0.0,Partially cloudy
2022-01-14,14.0,36.68,27.32,76.3,0.0,0.0,0.01,Partially cloudy
2022-01-15,3.56,14.36,8.78,49.2,0.0,0.0,0.0,Clear
2022-01-16,0.32,23.0,11.84,62.2,0.08,100.0,0.06,"Snow, Partially cloudy"
2022-01-17,25.52,39.74,34.34,78.1,0.42,100.0,0.28,"Snow, Rain, Overcast"
2022-01-18,18.68,32.36,28.58,53.3,0.0,0.0,0.0,Partially cloudy
2022-01-19,15.44,43.52,29.84,67.8,0.0,0.0,0.0,Partially cloudy
2022-01-20,15.8,37.76,29.48,63.8,0.06,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-01-21,6.44,17.6,11.48,51.8,0.0,0.0,0.0,Clear
2022-01-22,-0.22,22.28,9.86,63.7,0.0,0.0,0.03,Clear
2022-01-23,10.4,33.26,22.46,65.7,0.0,0.0,0.0,Partially cloudy
2022-01-24,21.56,30.2,25.34,68.5,0.01,0.0,0.06,Partially cloudy
2022-01-25,23.36,37.04,29.48,68.4,0.0,0.0,0.0,Partially cloudy
2022-01-26,7.7,25.7,17.96,51.8,0.0,0.0,0.0,Clear
2022-01-27,-0.22,30.02,14.72,62.9,0.0,0.0,0.0,Clear
2022-01-28,23.36,31.28,27.5,69.9,0.01,0.0,0.01,Overcast
2022-01-29,9.68,21.02,14.0,62.5,0.05,100.0,0.23,"Snow, Partially cloudy"
2022-01-30,4.28,24.44,13.82,46.9,0.0,0.0,0.0,Clear
2022-01-31,-2.02,28.4,12.02,63.4,0.0,0.0,0.0,Clear
2022-02-01,0.14,35.06,17.24,67.7,0.0,0.0,0.0,Clear
2022-02-02,17.42,43.52,31.46,79.2,0.0,0.0,0.0,Partially cloudy
2022-02-03,35.42,42.8,38.84,95.8,0.99,100.0,0.0,"Snow, Rain, Overcast"
2022-02-04,20.66,32.72,26.78,86.9,0.68,100.0,0.0,"Snow, Rain, Overcast"
2022-02-05,13.64,23.72,19.4,69.9,0.0,0.0,0.0,Partially cloudy
2022-02-06,8.06,26.96,17.06,71.1,0.0,0.0,0.0,Clear
2022-02-07,15.62,33.44,27.14,89.1,0.03,100.0,0.09,"Snow, Rain, Overcast"
2022-02-08,28.94,36.5,33.62,78.8,0.0,0.0,0.0,Partially cloudy
2022-02-09,21.02,45.5,32.72,62.6,0.0,0.0,0.0,Clear
2022-02-10,26.96,48.2,35.6,74.6,0.01,0.0,0.0,Partially cloudy
2022-02-11,21.56,54.5,38.66,61.7,0.0,0.0,0.0,Clear
2022-02-12,34.16,53.06,44.42,55.5,0.0,0.0,0.0,Partially cloudy
2022-02-13,21.02,33.44,26.42,67.5,0.07,100.0,0.04,"Snow, Rain, Overcast"
2022-02-14,10.76,24.26,17.96,43.5,0.0,0.0,0.0,Clear
2022-02-15,6.98,30.56,18.32,53.3,0.0,0.0,0.0,Clear
2022-02-16,12.02,42.8,28.04,69.2,0.0,0.0,0.0,Clear
2022-02-17,29.3,58.82,47.84,77.1,0.16,100.0,0.0,"Rain, Partially cloudy"
2022-02-18,21.2,62.42,42.08,56.2,0.16,100.0,0.0,"Rain, Partially cloudy"
2022-02-19,16.7,34.7,24.8,59.9,0.02,100.0,0.01,"Snow, Rain, Partially cloudy"
2022-02-20,13.64,35.96,26.06,45.3,0.0,0.0,0.0,Clear
2022-02-21,22.64,56.12,37.4,53.7,0.0,0.0,0.0,Clear
2022-02-22,25.7,59.18,40.82,85.1,0.39,100.0,0.0,"Rain, Partially cloudy"
2022-02-23,30.56,66.02,54.32,65.7,0.0,0.0,0.0,Partially cloudy
2022-02-24,24.08,29.66,26.42,47.1,0.0,0.0,0.04,Partially cloudy
2022-02-25,22.28,37.76,27.32,71.2,0.73,100.0,0.35,"Snow, Rain, Partially cloudy"
2022-02-26,12.02,35.78,23.9,56.6,0.0,0.0,0.0,Clear
2022-02-27,22.28,43.16,32.36,52.5,0.0,0.0,0.0,Partially cloudy
2022-02-28,20.3,31.64,26.24,40.0,0.0,0.0,0.0,Clear
