date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,49.64,71.24,58.28,83.5,0.0,0.0,0.0,Partially cloudy
2023-01-02,49.64,66.02,59.0,93.5,0.07,100.0,0.0,"Rain, Overcast"
2023-01-03,61.7,71.24,66.2,93.6,0.78,100.0,0.0,"Rain, Overcast"
2023-01-04,42.62,66.02,59.18,73.6,1.2,100.0,0.0,"Rain, Partially cloudy"
2023-01-05,36.86,59.18,48.38,60.5,0.0,0.0,0.0,Clear
2023-01-06,30.56,55.4,42.08,68.2,0.0,0.0,0.0,Clear
2023-01-07,31.64,64.4,46.94,70.7,0.0,0.0,0.0,Partially cloudy
2023-01-08,48.02,58.64,52.34,92.0,0.47,100.0,0.0,"Rain, Overcast"
2023-01-09,33.08,52.7,42.8,82.9,0.0,0.0,0.0,Clear
2023-01-10,28.04,60.62,42.62,77.9,0.0,0.0,0.0,Clear
2023-01-11,42.44,60.98,52.52,91.3,0.0,0.0,0.0,Partially cloudy
2023-01-12,46.94,64.94,59.72,89.0,0.57,100.0,0.0,"Rain, Partially cloudy"
2023-01-13,34.7,45.68,38.48,81.5,0.1,100.0,0.0,"Rain, Overcast"
2023-01-14,26.6,39.92,34.16,69.6,0.0,0.0,0.0,Partially cloudy
2023-01-15,23.18,53.24,35.78,70.1,0.0,0.0,0.0,Clear
2023-01-16,29.66,61.7,46.58,66.5,0.0,0.0,0.0,Partially cloudy
2023-01-17,51.62,64.76,57.02,90.9,0.45,100.0,0.0,"Rain, Partially cloudy"
2023-01-18,53.24,66.02,60.8,96.6,0.01,0.0,0.0,Overcast
2023-01-19,49.64,68.72,62.06,64.1,0.15,100.0,0.0,"Rain, Partially cloudy"
2023-01-20,39.02,54.68,45.68,63.1,0.03,100.0,0.0,Rain
2023-01-21,32.54,52.7,43.16,74.8,0.18,100.0,0.0,"Rain, Partially cloudy"
2023-01-22,42.44,47.48,44.78,98.3,0.63,100.0,0.0,"Rain, Overcast"
2023-01-23,29.3,47.48,40.1,78.9,0.0,0.0,0.0,Partially cloudy
2023-01-24,23.9,54.68,40.82,70.3,0.0,0.0,0.0,Clear
2023-01-25,38.48,55.22,46.94,86.7,0.99,100.0,0.0,"Rain, Overcast"
2023-01-26,35.24,46.94,40.28,70.7,0.0,0.0,0.0,Partially cloudy
2023-01-27,23.9,52.16,37.04,72.1,0.0,0.0,0.0,Clear
