date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,33.08,55.4,46.4,52.4,0.14,100.0,0.0,"Rain, Partially cloudy"
2022-01-02,24.08,43.52,33.08,42.9,0.0,0.0,0.0,Clear
2022-01-03,22.46,49.64,34.88,53.5,0.0,0.0,0.0,Clear
2022-01-04,24.8,62.24,44.78,42.9,0.0,0.0,0.0,Clear
2022-01-05,32.54,61.7,48.02,33.7,0.0,0.0,0.0,Clear
2022-01-06,33.08,64.58,48.74,40.9,0.0,0.0,0.0,Clear
2022-01-07,32.36,69.26,50.54,44.8,0.0,0.0,0.0,Clear
2022-01-08,52.34,68.72,59.9,26.8,0.0,0.0,0.0,Clear
2022-01-09,43.16,52.7,48.74,39.1,0.0,0.0,0.0,Partially cloudy
2022-01-10,39.38,45.32,42.26,52.1,0.0,0.0,0.0,Partially cloudy
2022-01-11,33.98,53.42,42.98,51.8,0.0,0.0,0.0,Partially cloudy
2022-01-12,28.22,60.62,42.44,47.8,0.0,0.0,0.0,Clear
2022-01-13,28.58,62.24,43.7,42.9,0.0,0.0,0.0,Clear
2022-01-14,30.38,70.34,50.9,32.1,0.0,0.0,0.0,Clear
2022-01-15,36.5,50.54,44.24,33.3,0.0,0.0,0.0,Clear
2022-01-16,23.72,55.58,39.74,42.1,0.0,0.0,0.0,Partially cloudy
2022-01-17,26.24,64.04,45.32,38.4,0.0,0.0,0.0,Partially cloudy
2022-01-18,48.02,66.02,56.12,42.8,0.01,0.0,0.0,Partially cloudy
2022-01-19,46.94,60.26,53.06,49.4,0.0,0.0,0.0,Partially cloudy
2022-01-20,32.18,47.48,39.92,42.9,0.0,0.0,0.0,Clear
2022-01-21,27.5,52.52,38.84,48.2,0.0,0.0,0.0,Clear
2022-01-22,33.26,54.32,41.9,45.5,0.0,0.0,0.0,Clear
2022-01-23,26.24,52.52,39.56,51.2,0.0,0.0,0.0,Clear
2022-01-24,31.46,59.54,44.06,48.9,0.0,0.0,0.0,Clear
2022-01-25,35.24,62.96,48.92,37.3,0.0,0.0,0.0,Clear
2022-01-26,35.78,57.02,46.4,37.8,0.0,0.0,0.0,Clear
2022-01-27,31.28,60.62,45.14,36.4,0.0,0.0,0.0,Clear
2022-01-28,28.94,50.72,39.92,40.5,0.0,0.0,0.0,Clear
2022-01-29,27.14,55.94,40.64,37.3,0.0,0.0,0.0,Clear
2022-01-30,31.1,62.06,44.78,31.6,0.0,0.0,0.0,Partially cloudy
2022-01-31,35.42,63.14,50.54,40.4,0.0,0.0,0.0,Clear
