date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,16.88,35.06,27.68,74.0,0.01,0.0,0.01,Partially cloudy
2022-01-02,32.72,38.84,35.24,79.6,0.94,100.0,2.06,"Snow, Rain, Partially cloudy"
2022-01-03,33.98,39.56,35.78,88.3,0.39,100.0,0.54,"Snow, Rain, Partially cloudy"
2022-01-04,35.6,40.64,37.22,88.0,0.07,100.0,0.13,"Rain, Overcast"
2022-01-05,33.08,36.5,35.06,93.3,0.05,100.0,0.41,"Snow, Rain, Overcast"
2022-01-06,33.44,49.82,43.88,93.9,0.43,100.0,0.15,"Snow, Rain, Overcast"
2022-01-07,35.42,47.3,42.26,86.2,0.19,100.0,0.02,"Snow, Rain, Overcast"
2022-01-08,35.24,43.34,38.84,83.6,0.01,0.0,0.06,Partially cloudy
2022-01-09,32.18,50.36,39.74,77.8,0.0,0.0,0.0,Clear
2022-01-10,35.6,48.38,41.9,81.3,0.07,100.0,0.0,"Rain, Partially cloudy"
2022-01-11,45.32,51.98,50.18,91.2,0.07,100.0,0.0,"Rain, Overcast"
2022-01-12,45.5,55.94,52.34,91.1,0.01,100.0,0.0,"Rain, Partially cloudy"
2022-01-13,41.0,53.96,47.48,87.7,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-01-14,38.48,49.46,42.44,80.5,0.0,0.0,0.0,Partially cloudy
2022-01-15,37.22,45.86,41.18,94.5,0.0,0.0,0.0,Partially cloudy
2022-01-16,37.58,42.62,39.74,94.2,0.0,0.0,0.0,Overcast
2022-01-17,37.4,46.58,41.9,89.1,0.0,0.0,0.0,Overcast
2022-01-18,44.42,46.94,45.68,92.4,0.03,0.0,0.0,Overcast
2022-01-19,42.8,50.0,46.4,88.4,0.03,100.0,0.0,"Rain, Overcast"
2022-01-20,43.52,51.8,48.38,88.2,0.12,100.0,0.0,"Rain, Overcast"
2022-01-21,35.96,47.3,42.62,87.1,0.0,0.0,0.0,Partially cloudy
2022-01-22,32.36,44.24,37.04,90.6,0.0,0.0,0.0,Partially cloudy
2022-01-23,33.62,37.4,35.42,96.9,0.0,0.0,0.0,Overcast
2022-01-24,34.88,38.48,36.32,94.3,0.0,0.0,0.0,Overcast
2022-01-25,32.9,37.04,34.52,93.0,0.0,0.0,0.0,Overcast
2022-01-26,32.72,38.66,34.34,92.2,0.0,0.0,0.01,Overcast
2022-01-27,30.2,46.4,35.6,84.1,0.0,0.0,0.0,Partially cloudy
2022-01-28,30.02,47.48,37.04,64.5,0.0,0.0,0.0,Clear
2022-01-29,29.12,49.46,38.84,66.9,0.0,0.0,0.01,Partially cloudy
2022-01-30,39.38,49.1,44.24,77.4,0.19,100.0,0.01,"Rain, Overcast"
2022-01-31,35.96,44.24,39.56,83.7,0.0,0.0,0.13,Partially cloudy
2022-02-01,32.36,41.18,36.32,89.6,0.05,100.0,0.07,"Snow, Rain, Partially cloudy"
2022-02-02,29.84,39.2,34.7,92.2,0.0,0.0,0.05,Overcast
2022-02-03,38.84,45.86,41.9,94.2,0.0,0.0,0.01,Overcast
2022-02-04,40.1,48.02,44.06,88.1,0.05,100.0,0.0,"Rain, Overcast"
2022-02-05,36.86,46.22,43.16,92.2,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-02-06,33.26,50.72,40.64,90.2,0.0,0.0,0.0,Partially cloudy
2022-02-07,38.84,49.1,44.42,87.5,0.0,0.0,0.0,Partially cloudy
2022-02-08,40.64,48.92,44.78,87.1,0.0,0.0,0.0,Overcast
2022-02-09,43.16,51.08,46.58,86.1,0.0,0.0,0.0,Overcast
2022-02-10,43.52,48.74,45.14,92.9,0.0,0.0,0.0,Overcast
2022-02-11,39.38,49.28,44.06,87.1,0.0,0.0,0.0,Partially cloudy
2022-02-12,33.08,51.8,41.0,80.9,0.0,0.0,0.0,Clear
2022-02-13,29.84,57.2,42.8,71.8,0.0,0.0,0.0,Clear
2022-02-14,42.26,48.74,45.32,85.3,0.0,0.0,0.0,Partially cloudy
2022-02-15,42.44,46.76,44.06,90.4,0.0,0.0,0.0,Overcast
2022-02-16,40.1,49.1,44.42,81.6,0.0,0.0,0.0,Partially cloudy
2022-02-17,39.2,46.22,43.16,86.1,0.0,0.0,0.0,Overcast
2022-02-18,39.92,50.0,44.6,85.0,0.0,0.0,0.0,Partially cloudy
2022-02-19,39.92,46.04,42.98,88.6,0.01,100.0,0.02,"Rain, Overcast"
2022-02-20,37.04,45.32,41.18,86.1,0.04,100.0,0.04,"Rain, Overcast"
