date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,34.16,39.02,35.96,90.9,0.3,100.0,0.17,"Snow, Rain, Overcast"
2023-01-02,26.96,35.06,31.28,78.6,0.32,100.0,0.33,"Snow, Rain, Overcast"
2023-01-03,20.12,33.26,26.96,71.8,0.0,0.0,0.0,Partially cloudy
2023-01-04,14.0,33.26,22.46,70.4,0.0,0.0,0.0,Clear
2023-01-05,23.0,30.02,27.86,85.8,0.15,100.0,0.03,"Snow, Rain, Overcast"
2023-01-06,20.12,32.0,28.22,89.3,0.03,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-01-07,15.26,32.0,24.26,81.3,0.0,0.0,0.0,Partially cloudy
2023-01-08,28.22,34.16,31.1,82.0,0.0,0.0,0.0,Overcast
2023-01-09,29.12,33.26,30.92,84.6,0.22,100.0,0.01,"Snow, Rain, Overcast"
2023-01-10,30.02,39.92,33.98,88.6,0.46,100.0,0.15,"Snow, Rain, Overcast"
2023-01-11,21.92,39.92,32.0,70.2,0.05,100.0,0.22,"Snow, Rain, Partially cloudy"
2023-01-12,16.16,33.26,23.18,68.5,0.0,0.0,0.0,Clear
2023-01-13,17.06,33.26,24.62,72.2,0.0,0.0,0.0,Clear
2023-01-14,19.22,33.26,26.96,75.1,0.03,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-15,20.12,34.16,28.94,89.3,0.31,100.0,0.2,"Snow, Rain, Partially cloudy"
2023-01-16,21.02,32.0,27.68,90.7,0.28,100.0,0.05,"Snow, Rain, Overcast"
2023-01-17,26.96,30.92,29.12,88.0,0.07,100.0,0.0,"Snow, Rain, Overcast"
2023-01-18,12.02,32.0,26.06,57.7,0.0,0.0,0.0,Clear
2023-01-19,3.92,25.16,15.8,74.9,0.0,0.0,0.0,Partially cloudy
2023-01-20,17.96,35.96,26.06,60.4,0.0,0.0,0.01,Partially cloudy
2023-01-21,10.22,32.0,23.54,54.8,0.0,0.0,0.0,Clear
2023-01-22,7.16,24.26,17.24,68.5,0.0,0.0,0.01,Partially cloudy
2023-01-23,16.16,35.96,26.42,56.8,0.0,0.0,0.0,Partially cloudy
2023-01-24,23.0,30.92,26.24,50.8,0.0,0.0,0.0,Clear
2023-01-25,12.92,30.02,23.9,52.5,0.0,0.0,0.0,Clear
2023-01-26,7.16,28.22,18.5,62.2,0.0,0.0,0.0,Clear
2023-01-27,16.16,26.96,22.28,67.0,0.0,0.0,0.0,Partially cloudy
2023-01-28,17.96,30.02,23.9,77.1,0.0,0.0,0.0,Partially cloudy
2023-01-29,17.06,32.0,25.34,78.2,0.02,100.0,0.01,"Snow, Partially cloudy"
2023-01-30,11.12,32.0,21.92,59.6,0.0,0.0,0.0,Partially cloudy
2023-01-31,2.12,20.12,11.3,48.1,0.0,0.0,0.0,Clear
2023-02-01,3.02,25.16,13.46,58.4,0.0,0.0,0.0,Clear
2023-02-02,8.96,30.02,17.96,63.7,0.0,0.0,0.0,Clear
2023-02-03,12.02,32.0,21.02,66.8,0.0,0.0,0.0,Clear
2023-02-04,12.02,34.16,23.0,65.7,0.0,0.0,0.0,Clear
2023-02-05,15.26,35.96,26.78,67.4,0.0,0.0,0.0,Partially cloudy
2023-02-06,21.92,37.22,30.38,56.5,0.0,0.0,0.0,Clear
2023-02-07,19.22,34.16,26.24,61.6,0.0,0.0,0.0,Clear
2023-02-08,17.06,35.06,26.06,62.2,0.0,0.0,0.0,Clear
2023-02-09,15.26,29.12,22.46,45.8,0.0,0.0,0.0,Clear
2023-02-10,8.06,30.02,18.86,52.4,0.0,0.0,0.0,Clear
2023-02-11,12.92,33.26,21.56,63.3,0.0,0.0,0.0,Clear
2023-02-12,14.0,37.22,24.98,57.1,0.0,0.0,0.0,Clear
2023-02-13,16.16,38.12,26.6,59.2,0.0,0.0,0.0,Clear
2023-02-14,19.22,30.02,25.52,55.8,0.0,0.0,0.01,Partially cloudy
2023-02-15,14.0,24.26,20.84,50.0,0.0,0.0,0.05,Partially cloudy
2023-02-16,3.92,24.26,14.18,52.3,0.0,0.0,0.0,Clear
2023-02-17,6.26,26.06,15.62,60.6,0.0,0.0,0.0,Clear
2023-02-18,8.06,30.02,18.5,59.0,0.0,0.0,0.0,Clear
2023-02-19,12.02,38.12,24.8,61.1,0.0,0.0,0.0,Clear
2023-02-20,20.12,38.12,29.84,62.4,0.0,0.0,0.0,Partially cloudy
2023-02-21,21.02,35.96,29.84,72.4,0.0,0.0,0.01,Partially cloudy
