date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,18.32,32.36,27.86,76.6,0.08,100.0,0.37,"Snow, Rain, Partially cloudy"
2023-01-02,3.38,30.56,20.48,80.6,0.19,100.0,0.01,"Snow, Rain, Partially cloudy"
2023-01-03,21.02,34.88,29.3,78.0,0.0,0.0,0.08,Partially cloudy
2023-01-04,23.54,41.9,34.34,73.7,0.11,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-05,30.56,37.4,33.8,90.3,1.26,100.0,0.54,"Snow, Rain, Overcast"
2023-01-06,17.06,35.42,26.78,81.4,0.0,0.0,0.02,Partially cloudy
2023-01-07,20.12,39.92,32.0,68.1,0.01,0.0,0.0,Partially cloudy
2023-01-08,27.5,39.02,34.88,74.0,0.22,100.0,0.35,"Snow, Rain, Partially cloudy"
2023-01-09,31.46,39.74,36.32,87.7,1.39,100.0,0.66,"Snow, Rain, Partially cloudy"
2023-01-10,27.68,37.4,31.64,88.5,0.8,100.0,0.65,"Snow, Rain, Overcast"
2023-01-11,29.66,39.74,33.44,84.3,0.31,100.0,0.24,"Snow, Rain, Overcast"
2023-01-12,33.98,53.42,40.82,78.3,0.02,0.0,0.04,Partially cloudy
2023-01-13,34.7,48.92,42.08,66.6,0.37,100.0,0.07,"Snow, Rain, Partially cloudy"
2023-01-14,32.36,38.66,35.06,90.1,1.25,100.0,0.43,"Snow, Rain, Overcast"
2023-01-15,28.94,35.78,32.36,81.8,0.14,100.0,0.37,"Snow, Rain, Partially cloudy"
2023-01-16,28.4,33.08,30.56,92.0,0.75,100.0,0.4,"Snow, Rain, Overcast"
2023-01-17,13.28,31.64,24.62,86.3,0.01,0.0,0.01,Partially cloudy
2023-01-18,4.64,34.52,20.48,79.9,0.1,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-19,14.72,31.82,25.52,70.7,0.34,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-01-20,3.92,30.38,18.32,71.8,0.0,0.0,0.0,Clear
2023-01-21,-1.3,36.68,15.98,78.7,0.0,0.0,0.0,Clear
2023-01-22,13.64,31.46,24.26,65.2,0.0,0.0,0.0,Partially cloudy
2023-01-23,16.34,33.98,24.44,62.5,0.01,0.0,0.0,Partially cloudy
2023-01-24,6.8,42.8,22.28,69.2,0.0,0.0,0.0,Clear
2023-01-25,6.44,41.18,23.54,70.8,0.0,0.0,0.0,Clear
2023-01-26,12.92,40.82,24.8,76.2,0.0,0.0,0.0,Clear
2023-01-27,5.18,45.32,23.0,68.6,0.0,0.0,0.0,Clear
2023-01-28,10.94,44.24,26.6,65.1,0.0,0.0,0.0,Clear
2023-01-29,20.12,29.66,25.88,70.8,0.07,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-30,-4.72,27.68,12.92,65.8,0.0,0.0,0.0,Partially cloudy
2023-01-31,-10.48,30.74,7.52,69.5,0.0,0.0,0.0,Clear
2023-02-01,0.68,37.58,18.86,65.3,0.0,0.0,0.0,Clear
2023-02-02,8.24,43.34,27.68,61.8,0.0,0.0,0.0,Clear
2023-02-03,26.42,45.5,36.5,50.9,0.01,0.0,0.0,Partially cloudy
2023-02-04,20.48,46.76,34.34,63.6,0.45,100.0,0.01,"Rain, Partially cloudy"
2023-02-05,25.88,41.9,33.08,82.4,0.8,100.0,0.41,"Snow, Rain, Overcast"
2023-02-06,21.2,37.58,28.58,72.2,0.0,0.0,0.0,Partially cloudy
2023-02-07,14.0,40.64,27.32,75.8,0.0,0.0,0.0,Clear
2023-02-08,14.0,46.22,30.92,72.2,0.0,0.0,0.0,Clear
2023-02-09,15.26,47.12,32.18,73.4,0.0,0.0,0.0,Clear
2023-02-10,14.18,51.62,34.16,68.4,0.0,0.0,0.0,Partially cloudy
2023-02-11,31.64,41.54,36.14,68.1,0.04,100.0,0.06,"Snow, Rain, Partially cloudy"
2023-02-12,20.84,45.14,32.9,57.6,0.0,0.0,0.0,Clear
2023-02-13,14.72,48.74,32.0,61.4,0.0,0.0,0.0,Clear
