date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,6.44,13.82,9.68,75.4,0.0,0.0,0.23,Partially cloudy
2022-01-02,4.82,13.82,9.86,80.6,0.11,100.0,0.28,"Snow, Partially cloudy"
2022-01-03,14.54,21.92,17.78,88.0,0.31,100.0,0.15,"Snow, Partially cloudy"
2022-01-04,12.38,22.82,17.06,90.7,0.18,100.0,0.07,"Snow, Partially cloudy"
2022-01-05,18.68,24.8,21.2,91.2,0.28,100.0,0.15,"Snow, Partially cloudy"
2022-01-06,19.76,26.96,23.18,91.4,1.01,100.0,2.43,"Snow, Partially cloudy"
2022-01-07,22.64,37.4,28.04,82.0,0.33,100.0,0.16,"Snow, Rain, Partially cloudy"
2022-01-08,22.1,29.12,25.88,78.8,0.11,100.0,0.06,"Snow, Rain, Partially cloudy"
2022-01-09,18.14,28.58,22.64,85.6,0.0,0.0,0.09,Clear
2022-01-10,16.52,25.16,19.94,88.8,0.0,0.0,0.0,Clear
2022-01-11,21.2,31.1,27.14,90.3,0.25,100.0,1.0,"Snow, Rain, Partially cloudy"
2022-01-12,26.42,35.24,32.36,91.5,0.23,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-01-13,32.36,38.12,34.52,92.5,0.02,0.0,0.09,Partially cloudy
2022-01-14,27.86,32.9,30.74,95.2,0.0,0.0,0.0,Partially cloudy
2022-01-15,30.56,35.78,32.54,89.2,0.0,0.0,0.0,Partially cloudy
2022-01-16,29.66,31.82,30.74,88.7,0.0,0.0,0.0,Partially cloudy
2022-01-17,27.32,30.2,29.12,90.6,0.0,0.0,0.06,Partially cloudy
2022-01-18,26.24,31.46,28.94,92.9,0.05,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-01-19,27.5,33.44,29.66,94.8,0.01,0.0,0.0,Partially cloudy
2022-01-20,29.48,38.84,33.8,87.6,0.15,100.0,0.01,"Snow, Rain, Partially cloudy"
2022-01-21,24.44,38.3,33.8,80.6,0.08,100.0,0.07,"Snow, Rain"
2022-01-22,23.0,32.36,26.78,84.3,0.0,0.0,0.0,Partially cloudy
2022-01-23,25.7,35.6,29.12,70.3,0.0,0.0,0.0,Partially cloudy
2022-01-24,23.54,32.0,28.76,79.1,0.0,0.0,0.0,Partially cloudy
2022-01-25,21.2,27.32,24.98,87.5,0.0,0.0,0.0,Partially cloudy
2022-01-26,22.28,28.58,25.88,80.1,0.0,0.0,1.16,Partially cloudy
2022-01-27,22.64,25.88,24.26,84.0,0.0,0.0,0.0,Partially cloudy
2022-01-28,22.64,25.52,24.26,82.1,0.0,0.0,0.0,Partially cloudy
2022-01-29,22.28,25.7,23.9,78.5,0.0,0.0,0.0,Partially cloudy
2022-01-30,23.72,28.04,26.42,87.5,0.08,100.0,0.01,"Snow, Partially cloudy"
2022-01-31,22.28,35.78,30.74,77.6,0.26,100.0,1.15,"Snow, Rain, Partially cloudy"
2022-02-01,20.3,31.28,26.6,79.0,0.03,0.0,0.01,Partially cloudy
2022-02-02,18.68,27.32,23.72,71.6,0.07,100.0,0.0,"Snow, Partially cloudy"
2022-02-03,20.3,28.4,24.26,78.9,0.06,0.0,0.0,Clear
2022-02-04,20.12,31.46,25.88,85.3,0.05,100.0,0.01,"Snow, Rain, Partially cloudy"
2022-02-05,22.64,35.24,28.22,87.1,0.03,0.0,0.0,Clear
2022-02-06,25.34,34.34,29.3,85.4,0.0,0.0,0.98,Partially cloudy
2022-02-07,28.22,38.12,32.54,81.7,0.02,0.0,0.07,Partially cloudy
2022-02-08,33.8,39.74,35.96,74.6,0.01,0.0,0.0,Clear
2022-02-09,30.38,44.42,36.32,78.1,0.0,0.0,0.0,Clear
2022-02-10,33.8,51.26,41.54,69.1,0.0,0.0,0.0,Clear
2022-02-11,32.0,45.5,37.4,69.5,0.0,0.0,0.0,Clear
2022-02-12,24.62,41.72,32.54,65.1,0.0,0.0,0.0,Clear
2022-02-13,24.26,41.0,31.46,66.6,0.0,0.0,0.0,Clear
2022-02-14,28.58,38.66,33.08,75.9,0.05,0.0,0.0,Partially cloudy
2022-02-15,30.74,46.94,38.3,66.6,0.05,100.0,0.0,"Snow, Rain"
2022-02-16,36.14,47.3,41.0,61.8,0.04,0.0,0.0,Clear
2022-02-17,35.6,49.46,41.18,62.6,0.0,0.0,0.0,Clear
2022-02-18,39.74,51.62,43.88,60.9,0.0,0.0,0.0,Clear
2022-02-19,33.08,54.68,41.36,66.0,0.2,100.0,0.02,Rain
2022-02-20,31.82,43.7,37.4,67.7,0.33,100.0,0.09,"Snow, Rain, Partially cloudy"
2022-02-21,24.26,36.5,30.74,69.9,0.14,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-02-22,16.7,23.36,20.84,51.0,0.0,0.0,0.0,Partially cloudy
2022-02-23,10.22,26.78,18.86,55.6,0.0,0.0,0.0,Clear
2022-02-24,18.68,29.12,22.64,74.8,0.06,100.0,0.0,"Snow, Partially cloudy"
2022-02-25,13.46,26.6,20.12,77.2,0.0,0.0,0.54,Clear
2022-02-26,19.4,30.74,25.16,74.5,0.02,100.0,0.26,"Snow, Rain, Partially cloudy"
2022-02-27,25.7,36.86,31.1,85.1,0.25,100.0,0.11,"Snow, Rain, Partially cloudy"
2022-02-28,31.1,39.38,35.06,95.8,0.8,100.0,0.29,"Snow, Rain, Partially cloudy"
2022-03-01,33.8,49.82,41.18,87.9,0.14,100.0,0.0,"Snow, Rain, Partially cloudy"
2022-03-02,37.94,46.94,42.44,80.5,0.03,0.0,0.0,Partially cloudy
2022-03-03,36.68,49.46,41.9,67.1,0.03,0.0,0.01,Partially cloudy
2022-03-04,32.72,48.92,40.1,59.1,0.0,0.0,0.0,Partially cloudy
2022-03-05,30.56,49.28,39.92,58.5,0.0,0.0,0.0,Clear
2022-03-06,30.56,50.36,39.92,55.4,0.0,0.0,0.0,Clear
2022-03-07,36.86,54.5,46.22,47.5,0.0,0.0,0.0,Clear
2022-03-08,36.14,42.08,38.66,64.4,0.08,100.0,0.04,"Rain, Partially cloudy"
2022-03-09,26.78,37.4,32.72,36.8,0.0,0.0,0.25,Partially cloudy
2022-03-10,22.82,41.54,31.82,49.0,0.0,0.0,0.0,Clear
2022-03-11,30.56,42.62,35.96,58.7,0.0,0.0,0.0,Partially cloudy
2022-03-12,30.2,50.72,39.2,62.1,0.01,0.0,0.0,Partially cloudy
2022-03-13,37.4,53.42,44.96,62.6,0.05,100.0,0.0,"Rain, Partially cloudy"
2022-03-14,39.38,48.2,43.52,72.2,0.25,100.0,0.0,"Rain, Partially cloudy"
2022-03-15,36.32,51.98,42.44,74.7,0.21,100.0,0.06,"Rain, Partially cloudy"
2022-03-16,33.26,50.54,41.36,64.4,0.12,100.0,0.0,"Snow, Rain"
2022-03-17,32.9,45.5,39.74,67.3,0.0,0.0,0.0,Partially cloudy
2022-03-18,36.14,51.08,43.34,66.4,0.0,0.0,0.0,Partially cloudy
2022-03-19,36.86,50.54,41.9,62.0,0.08,100.0,0.02,"Rain, Partially cloudy"
2022-03-20,28.4,44.6,38.12,56.3,0.11,100.0,0.02,"Snow, Rain, Partially cloudy"
2022-03-21,37.04,50.36,42.98,68.1,0.15,100.0,0.05,"Rain, Partially cloudy"
2022-03-22,42.62,57.92,48.56,74.5,0.01,0.0,0.0,Partially cloudy
2022-03-23,44.24,59.18,49.82,68.9,0.02,0.0,0.0,Partially cloudy
2022-03-24,35.78,53.6,44.42,41.7,0.0,0.0,0.0,Clear
2022-03-25,35.78,55.94,45.86,47.3,0.0,0.0,0.0,Clear
2022-03-26,41.54,60.44,50.54,53.6,0.0,0.0,0.0,Partially cloudy
2022-03-27,44.06,66.02,53.6,60.4,0.0,0.0,0.0,Partially cloudy
2022-03-28,45.68,63.32,52.88,59.1,0.0,0.0,0.0,Partially cloudy
2022-03-29,41.0,61.52,50.9,59.5,0.0,0.0,0.0,Clear
2022-03-30,40.1,54.14,46.94,49.8,0.08,100.0,0.0,"Rain, Partially cloudy"
2022-03-31,34.16,51.44,42.8,49.4,0.06,100.0,0.01,"Snow, Rain"
2022-04-01,34.16,54.14,44.06,52.0,0.0,0.0,0.0,Partially cloudy
2022-04-02,38.66,52.52,45.68,47.9,0.08,100.0,0.0,"Rain, Partially cloudy"
2022-04-03,38.48,53.96,45.5,53.7,0.05,0.0,0.0,Partially cloudy
2022-04-04,33.98,46.04,41.72,61.6,0.47,100.0,0.04,"Snow, Rain, Partially cloudy"
2022-04-05,35.06,49.1,40.82,47.0,0.15,100.0,0.09,"Snow, Rain, Partially cloudy"
2022-04-06,28.76,51.8,41.0,47.4,0.0,0.0,0.0,Clear
2022-04-07,34.7,60.98,48.2,43.0,0.0,0.0,0.0,Clear
2022-04-08,36.68,52.88,46.58,50.1,0.24,100.0,0.02,Rain
2022-04-09,32.18,46.04,38.66,48.5,0.25,100.0,0.07,"Snow, Rain, Partially cloudy"
2022-04-10,30.2,41.18,36.14,64.8,0.1,100.0,0.06,"Snow, Rain, Partially cloudy"
2022-04-11,32.18,36.32,34.34,80.0,0.13,100.0,0.15,"Snow, Rain, Partially cloudy"
2022-04-12,29.12,35.96,33.08,82.4,0.23,100.0,0.2,"Snow, Rain, Partially cloudy"
2022-04-13,26.78,40.1,33.08,72.8,0.18,100.0,0.08,"Snow, Rain, Partially cloudy"
2022-04-14,28.58,37.58,31.64,81.2,0.59,100.0,0.07,"Snow, Rain, Partially cloudy"
2022-04-15,24.44,42.08,33.44,68.4,0.01,0.0,0.0,Clear
2022-04-16,29.12,41.18,34.88,70.0,0.04,100.0,0.03,"Snow, Rain, Partially cloudy"
2022-04-17,31.82,48.92,39.38,56.2,0.01,0.0,0.0,Partially cloudy
2022-04-18,37.76,42.26,40.1,70.1,0.04,100.0,0.04,"Rain, Partially cloudy"
2022-04-19,28.76,50.54,41.0,59.8,0.04,100.0,0.02,"Snow, Rain, Partially cloudy"
2022-04-20,30.38,50.18,39.56,69.4,0.12,100.0,0.0,"Rain, Partially cloudy"
2022-04-21,39.2,53.24,45.14,71.8,0.04,100.0,0.01,"Rain, Partially cloudy"
2022-04-22,34.7,55.94,46.04,58.2,0.0,0.0,0.0,Partially cloudy
2022-04-23,38.3,60.8,49.46,50.5,0.01,0.0,0.0,Clear
2022-04-24,38.12,62.96,51.08,49.8,0.0,0.0,0.0,Clear
2022-04-25,44.24,56.84,49.82,55.6,0.01,0.0,0.0,Partially cloudy
2022-04-26,40.82,55.76,46.4,46.1,0.08,100.0,0.0,"Rain, Partially cloudy"
2022-04-27,35.96,52.52,43.88,49.9,0.02,0.0,0.0,Partially cloudy
2022-04-28,34.7,53.06,44.24,54.3,0.0,0.0,0.0,Partially cloudy
2022-04-29,41.18,58.64,49.28,45.5,0.02,0.0,0.0,Partially cloudy
2022-04-30,42.08,52.34,46.58,73.7,0.15,100.0,0.0,"Rain, Partially cloudy"
2022-05-01,38.84,62.96,51.26,65.3,0.0,0.0,0.0,Clear
2022-05-02,44.6,50.9,47.48,78.2,0.58,100.0,0.0,"Rain, Partially cloudy"
2022-05-03,44.6,62.42,52.7,56.1,0.0,0.0,0.0,Clear
2022-05-04,45.14,65.84,55.76,60.2,0.0,0.0,0.0,Clear
2022-05-05,47.66,57.38,52.52,64.0,0.11,100.0,0.0,"Rain, Partially cloudy"
2022-05-06,40.28,50.72,46.22,71.5,0.14,100.0,0.0,"Rain, Partially cloudy"
2022-05-07,40.46,54.14,46.76,58.8,0.19,100.0,0.0,"Rain, Partially cloudy"
2022-05-08,35.78,49.82,43.16,52.8,0.03,100.0,0.0,"Rain, Partially cloudy"
2022-05-09,36.5,54.32,45.32,47.4,0.08,100.0,0.0,Rain
2022-05-10,36.68,56.84,47.48,46.7,0.01,0.0,0.0,Clear
2022-05-11,38.12,59.9,48.92,44.9,0.0,0.0,0.0,Clear
2022-05-12,39.92,53.78,46.76,59.6,0.11,100.0,0.0,"Rain, Partially cloudy"
2022-05-13,36.5,54.86,45.86,49.1,0.02,0.0,0.0,Partially cloudy
2022-05-14,43.52,58.1,49.1,70.2,0.09,100.0,0.0,"Rain, Partially cloudy"
2022-05-15,47.12,58.64,51.98,80.3,0.04,100.0,0.0,"Rain, Partially cloudy"
2022-05-16,46.4,61.52,52.88,64.9,0.07,100.0,0.0,Rain
2022-05-17,42.08,61.88,51.08,46.0,0.0,0.0,0.0,Clear
2022-05-18,44.78,59.9,50.9,48.9,0.14,100.0,0.0,"Rain, Partially cloudy"
2022-05-19,36.86,54.32,46.94,46.3,0.15,100.0,0.01,Rain
2022-05-20,43.88,60.26,50.36,51.6,0.02,100.0,0.0,"Rain, Partially cloudy"
2022-05-21,42.08,53.96,48.56,73.2,0.18,100.0,0.0,"Rain, Partially cloudy"
2022-05-22,41.0,66.56,54.68,53.4,0.0,0.0,0.0,Clear
2022-05-23,50.54,66.38,57.38,47.4,0.0,0.0,0.0,Partially cloudy
2022-05-24,45.86,63.14,53.96,55.6,0.03,100.0,0.0,"Rain, Partially cloudy"
2022-05-25,49.28,70.16,58.1,54.6,0.02,0.0,0.0,Partially cloudy
2022-05-26,52.16,68.0,60.62,48.8,0.01,0.0,0.0,Partially cloudy
2022-05-27,48.92,63.14,56.12,58.7,0.06,100.0,0.0,"Rain, Partially cloudy"
2022-05-28,43.7,57.38,51.44,56.8,0.0,0.0,0.0,Partially cloudy
2022-05-29,48.02,58.82,52.52,57.2,0.09,0.0,0.0,Partially cloudy
2022-05-30,46.4,55.76,50.36,61.3,0.0,0.0,0.0,Partially cloudy
2022-05-31,48.92,73.22,60.44,52.8,0.0,0.0,0.0,Partially cloudy
2022-06-01,50.36,71.42,60.98,53.6,0.01,0.0,0.0,Partially cloudy
2022-06-02,54.14,73.22,61.88,66.9,0.29,100.0,0.0,"Rain, Partially cloudy"
2022-06-03,52.34,61.52,57.2,79.5,0.05,100.0,0.0,"Rain, Partially cloudy"
2022-06-04,51.44,62.6,57.2,71.4,0.02,0.0,0.0,Partially cloudy
2022-06-05,53.06,62.96,57.02,77.4,0.54,100.0,0.0,"Rain, Partially cloudy"
2022-06-06,47.48,65.12,56.3,54.8,0.01,0.0,0.0,Clear
2022-06-07,46.22,69.98,59.18,52.4,0.0,0.0,0.0,Clear
2022-06-08,54.86,72.86,63.86,47.1,0.0,0.0,0.0,Clear
2022-06-09,54.5,61.34,58.1,61.8,0.21,100.0,0.0,"Rain, Partially cloudy"
2022-06-10,53.24,73.22,59.54,75.6,0.18,100.0,0.0,"Rain, Partially cloudy"
2022-06-11,52.88,71.96,61.34,57.3,0.01,0.0,0.0,Partially cloudy
2022-06-12,47.12,62.78,55.4,62.1,0.17,100.0,0.0,"Rain, Partially cloudy"
2022-06-13,46.94,59.0,52.16,56.2,0.19,100.0,0.0,"Rain, Partially cloudy"
2022-06-14,45.86,59.0,51.98,53.6,0.12,100.0,0.0,"Rain, Partially cloudy"
2022-06-15,46.58,66.74,56.12,55.8,0.0,0.0,0.0,Clear
