date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,39.74,51.98,47.12,82.8,0.46,100.0,0.0,"Rain, Overcast"
2023-01-02,37.04,44.06,40.46,78.6,0.04,100.0,0.0,"Rain, Overcast"
2023-01-03,35.06,44.96,39.02,84.9,0.04,100.0,0.04,"Rain, Partially cloudy"
2023-01-04,35.96,44.06,40.28,87.4,0.0,0.0,0.0,Overcast
2023-01-05,42.08,53.06,46.94,79.2,0.26,100.0,0.0,"Rain, Partially cloudy"
2023-01-06,40.82,53.06,45.32,80.3,0.0,0.0,0.0,Partially cloudy
2023-01-07,32.0,50.0,41.54,79.5,0.0,0.0,0.0,Clear
2023-01-08,38.84,51.98,45.14,68.4,0.0,0.0,0.0,Clear
2023-01-09,37.04,50.0,42.08,82.5,0.08,100.0,0.0,"Rain, Partially cloudy"
2023-01-10,44.06,57.74,48.02,75.7,0.17,100.0,0.0,"Rain, Partially cloudy"
2023-01-11,35.96,51.08,42.8,72.4,0.0,0.0,0.0,Clear
2023-01-12,32.0,53.96,41.9,73.3,0.0,0.0,0.0,Clear
2023-01-13,35.96,55.94,44.78,63.3,0.0,0.0,0.0,Clear
2023-01-14,37.94,48.92,43.7,72.3,0.21,100.0,0.0,"Rain, Partially cloudy"
2023-01-15,39.74,51.08,45.14,75.3,0.01,100.0,0.0,"Rain, Partially cloudy"
2023-01-16,39.74,50.0,44.42,77.3,0.1,100.0,0.0,"Rain, Partially cloudy"
2023-01-17,35.06,46.04,40.1,80.3,0.02,100.0,0.0,"Rain, Partially cloudy"
2023-01-18,32.0,46.94,38.66,69.6,0.0,0.0,0.0,Partially cloudy
2023-01-19,28.94,39.74,33.98,82.6,0.16,100.0,0.02,"Snow, Rain, Partially cloudy"
2023-01-20,33.08,44.96,37.58,71.2,0.04,100.0,0.07,"Snow, Rain, Partially cloudy"
2023-01-21,28.04,46.04,34.88,63.2,0.0,0.0,0.0,Clear
2023-01-22,24.98,39.74,32.54,58.6,0.0,0.0,0.0,Partially cloudy
2023-01-23,30.74,44.96,36.14,43.8,0.0,0.0,0.0,Partially cloudy
2023-01-24,28.04,48.74,37.04,53.7,0.0,0.0,0.0,Clear
2023-01-25,26.96,47.84,37.04,54.9,0.0,0.0,0.0,Clear
2023-01-26,33.08,48.74,39.74,49.4,0.0,0.0,0.0,Clear
2023-01-27,28.04,50.0,37.58,57.8,0.0,0.0,0.0,Clear
2023-01-28,28.04,53.06,39.02,61.5,0.0,0.0,0.0,Clear
2023-01-29,28.04,53.96,40.64,57.6,0.0,0.0,0.0,Partially cloudy
2023-01-30,26.96,42.98,35.06,71.3,0.07,100.0,0.05,"Snow, Rain, Partially cloudy"
2023-01-31,19.94,41.0,28.22,48.4,0.0,0.0,0.0,Clear
2023-02-01,20.84,47.84,33.26,46.9,0.0,0.0,0.0,Clear
2023-02-02,26.06,52.16,37.76,53.6,0.0,0.0,0.0,Clear
2023-02-03,30.92,55.04,41.9,56.2,0.0,0.0,0.0,Clear
2023-02-04,32.0,56.84,44.6,52.1,0.0,0.0,0.0,Clear
