date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,19.58,22.28,20.84,84.3,0.0,0.0,0.01,Overcast
2023-01-02,9.32,19.58,14.0,81.1,0.01,0.0,0.03,Partially cloudy
2023-01-03,2.48,9.68,6.26,83.6,0.0,0.0,0.0,Overcast
2023-01-04,-1.3,3.38,1.94,78.2,0.0,0.0,0.0,Overcast
2023-01-05,0.5,23.72,14.36,61.3,0.0,0.0,0.0,Partially cloudy
2023-01-06,10.94,18.68,13.64,80.1,0.01,0.0,0.01,Partially cloudy
2023-01-07,8.24,12.74,10.76,82.1,0.02,0.0,0.0,Partially cloudy
2023-01-08,10.04,21.38,15.98,46.7,0.0,0.0,0.0,Clear
2023-01-09,8.24,21.02,17.06,76.8,0.0,0.0,0.0,Partially cloudy
2023-01-10,17.06,22.82,20.12,83.7,0.01,0.0,0.0,Overcast
2023-01-11,8.42,19.22,12.38,80.2,0.04,100.0,0.02,"Snow, Overcast"
2023-01-12,4.1,13.46,8.42,80.2,0.01,0.0,0.0,Partially cloudy
2023-01-13,12.2,28.22,22.64,69.1,0.0,0.0,0.0,Clear
2023-01-14,16.34,28.22,24.08,59.4,0.0,0.0,0.0,Partially cloudy
2023-01-15,10.58,19.22,15.98,82.3,0.08,100.0,0.0,"Snow, Partially cloudy"
2023-01-16,8.42,12.74,10.76,83.7,0.01,0.0,0.0,Overcast
2023-01-17,7.34,16.7,12.2,79.6,0.01,0.0,0.03,Overcast
2023-01-18,-0.22,7.34,4.28,82.5,0.08,100.0,0.13,"Snow, Overcast"
2023-01-19,-4.72,11.48,3.74,68.7,0.0,0.0,0.0,Partially cloudy
2023-01-20,2.3,8.24,4.46,71.8,0.0,0.0,0.0,Overcast
2023-01-21,-3.28,4.64,0.14,78.7,0.0,0.0,0.0,Overcast
2023-01-22,0.5,15.26,6.8,81.7,0.0,0.0,0.0,Partially cloudy
2023-01-23,2.48,13.1,6.98,82.9,0.02,0.0,0.0,Partially cloudy
2023-01-24,-4.72,6.08,1.76,82.3,0.0,0.0,0.0,Overcast
2023-01-25,-6.7,-3.1,-5.08,78.4,0.01,0.0,0.0,Overcast
2023-01-26,-6.7,4.1,-2.56,78.1,0.0,0.0,0.0,Overcast
2023-01-27,4.1,13.1,8.78,83.9,0.03,0.0,0.01,Overcast
2023-01-28,2.3,8.24,5.54,83.8,0.02,0.0,0.0,Overcast
2023-01-29,2.3,9.86,6.98,82.4,0.0,0.0,0.0,Overcast
2023-01-30,-6.7,9.5,4.82,82.1,0.01,0.0,0.02,Overcast
2023-01-31,-14.62,1.76,-4.72,75.6,0.0,0.0,0.02,Partially cloudy
2023-02-01,-2.74,7.52,3.02,81.6,0.0,0.0,0.0,Partially cloudy
2023-02-02,6.08,14.54,8.96,81.9,0.0,0.0,0.0,Partially cloudy
2023-02-03,9.86,23.36,16.7,36.8,0.0,0.0,0.0,Clear
2023-02-04,14.72,20.3,16.7,46.7,0.0,0.0,0.0,Partially cloudy
