date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,12.74,31.28,26.6,82.6,0.04,100.0,0.26,"Snow, Rain, Partially cloudy"
2023-01-02,7.34,26.96,17.42,88.7,0.03,100.0,0.01,"Snow, Partially cloudy"
2023-01-03,12.92,33.8,26.42,80.3,0.0,0.0,0.09,Partially cloudy
2023-01-04,18.32,43.52,32.0,80.3,0.06,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-05,30.2,37.04,33.44,88.9,0.41,100.0,0.48,"Snow, Rain, Overcast"
2023-01-06,17.6,35.42,26.06,85.7,0.0,0.0,0.03,Partially cloudy
2023-01-07,20.3,39.2,31.82,70.8,0.0,0.0,0.01,Partially cloudy
2023-01-08,30.56,38.84,34.7,71.8,0.11,100.0,0.35,"Snow, Rain, Partially cloudy"
2023-01-09,27.5,39.2,34.88,84.9,0.32,100.0,0.57,"Snow, Rain, Partially cloudy"
2023-01-10,26.96,36.14,30.92,86.8,0.65,100.0,0.37,"Snow, Rain, Overcast"
2023-01-11,28.4,34.88,31.64,86.4,0.11,100.0,0.25,"Snow, Rain, Overcast"
2023-01-12,28.76,48.92,35.24,90.4,0.0,0.0,0.07,Overcast
2023-01-13,32.18,44.24,39.02,73.5,0.21,100.0,0.07,"Snow, Rain, Partially cloudy"
2023-01-14,28.58,35.96,32.54,90.4,0.14,100.0,0.41,"Snow, Rain, Overcast"
2023-01-15,20.12,39.92,28.4,83.8,0.01,0.0,0.29,Overcast
2023-01-16,24.98,35.06,27.86,93.1,0.12,100.0,0.29,"Snow, Rain, Overcast"
2023-01-17,2.84,32.18,22.82,82.1,0.0,0.0,0.0,Partially cloudy
2023-01-18,2.66,33.98,18.68,80.6,0.01,0.0,0.01,Partially cloudy
2023-01-19,6.08,28.76,21.2,77.0,0.06,100.0,0.19,"Snow, Rain, Partially cloudy"
2023-01-20,-0.76,31.1,12.2,81.6,0.0,0.0,0.0,Clear
2023-01-21,-2.38,38.12,14.0,79.7,0.0,0.0,0.0,Partially cloudy
2023-01-22,9.5,26.96,19.22,78.5,0.0,0.0,0.0,Partially cloudy
2023-01-23,7.16,30.2,17.6,73.4,0.0,0.0,0.0,Clear
2023-01-24,1.58,42.62,17.96,73.3,0.0,0.0,0.0,Clear
2023-01-25,4.64,37.4,19.04,80.4,0.0,0.0,0.0,Partially cloudy
2023-01-26,10.04,39.38,21.38,80.4,0.0,0.0,0.0,Partially cloudy
2023-01-27,3.56,45.68,19.76,75.5,0.0,0.0,0.0,Partially cloudy
2023-01-28,5.36,42.98,21.38,74.1,0.0,0.0,0.0,Partially cloudy
2023-01-29,6.08,27.32,19.22,78.0,0.02,100.0,0.02,"Snow, Partially cloudy"
2023-01-30,-7.06,25.16,5.36,74.0,0.0,0.0,0.0,Clear
2023-01-31,-8.86,31.82,10.4,65.3,0.0,0.0,0.0,Clear
2023-02-01,0.86,39.02,21.56,66.7,0.0,0.0,0.0,Partially cloudy
2023-02-02,4.1,46.4,25.52,70.8,0.0,0.0,0.0,Partially cloudy
2023-02-03,21.74,51.26,36.32,56.4,0.0,0.0,0.0,Partially cloudy
2023-02-04,17.06,51.26,32.36,71.9,0.11,100.0,0.0,"Rain, Partially cloudy"
2023-02-05,20.12,39.92,30.74,80.6,0.05,100.0,0.37,"Snow, Rain, Partially cloudy"
2023-02-06,11.66,42.26,25.7,78.0,0.0,0.0,0.0,Partially cloudy
2023-02-07,9.5,36.32,24.26,83.4,0.0,0.0,0.0,Partially cloudy
2023-02-08,17.96,57.02,33.08,71.1,0.0,0.0,0.0,Partially cloudy
2023-02-09,14.72,53.06,30.02,73.9,0.0,0.0,0.0,Partially cloudy
2023-02-10,12.92,61.16,34.16,64.7,0.0,0.0,0.0,Partially cloudy
2023-02-11,25.16,37.76,31.1,79.6,0.04,100.0,0.06,"Snow, Rain, Partially cloudy"
2023-02-12,14.9,45.5,29.12,67.6,0.0,0.0,0.0,Clear
2023-02-13,9.5,53.42,30.2,61.4,0.0,0.0,0.0,Clear
2023-02-14,19.58,32.0,23.54,55.5,0.0,0.0,0.0,Partially cloudy
2023-02-15,5.18,32.18,18.32,59.1,0.0,0.0,0.0,Clear
2023-02-16,-4.9,37.94,16.34,62.7,0.0,0.0,0.0,Partially cloudy
2023-02-17,7.52,41.0,22.46,62.5,0.0,0.0,0.0,Clear
2023-02-18,3.92,46.04,21.56,66.7,0.0,0.0,0.0,Clear
2023-02-19,11.48,45.5,28.4,63.8,0.0,0.0,0.0,Partially cloudy
2023-02-20,16.7,48.74,30.56,69.6,0.0,0.0,0.0,Partially cloudy
2023-02-21,21.56,42.44,30.2,69.9,0.08,100.0,0.06,"Snow, Rain, Partially cloudy"
2023-02-22,8.78,21.92,17.24,71.4,0.12,100.0,0.07,"Snow, Partially cloudy"
2023-02-23,14.18,21.2,18.5,72.5,0.08,100.0,0.13,"Snow, Overcast"
2023-02-24,19.76,27.32,24.44,78.5,0.22,100.0,0.26,"Snow, Overcast"
2023-02-25,27.14,37.22,31.82,77.5,0.11,100.0,0.08,"Snow, Rain, Overcast"
2023-02-26,25.88,32.18,28.22,75.8,0.67,100.0,0.12,"Snow, Rain, Overcast"
2023-02-27,21.56,28.58,24.08,74.5,2.68,100.0,0.26,"Snow, Rain, Overcast"
2023-02-28,19.76,27.68,23.72,81.4,0.83,100.0,0.42,"Snow, Overcast"
2023-03-01,15.08,23.72,19.76,71.0,0.31,100.0,0.13,"Snow, Partially cloudy"
2023-03-02,2.48,44.06,22.28,71.2,0.0,0.0,0.0,Clear
2023-03-03,14.54,42.44,28.76,60.7,0.0,0.0,0.0,Partially cloudy
2023-03-04,21.2,31.82,27.14,61.4,0.51,100.0,0.09,"Snow, Rain, Partially cloudy"
2023-03-05,19.76,25.16,22.28,76.4,0.32,100.0,0.35,"Snow, Overcast"
2023-03-06,13.64,31.1,21.74,70.8,0.16,100.0,0.07,"Snow, Rain, Partially cloudy"
2023-03-07,21.2,29.12,25.34,66.5,0.07,100.0,0.15,"Snow, Overcast"
2023-03-08,12.2,27.14,23.36,63.0,0.04,100.0,0.13,"Snow, Partially cloudy"
2023-03-09,5.72,42.26,28.58,64.6,0.19,100.0,0.16,"Snow, Rain, Partially cloudy"
2023-03-10,33.26,43.34,39.2,75.1,7.69,100.0,0.37,"Snow, Rain, Overcast"
2023-03-11,30.56,41.18,33.98,90.6,0.34,100.0,0.17,"Snow, Rain, Overcast"
2023-03-12,32.72,40.28,36.68,83.0,0.26,100.0,0.2,"Snow, Rain, Overcast"
2023-03-13,33.98,43.34,38.3,75.1,0.19,100.0,0.12,"Snow, Rain, Overcast"
2023-03-14,34.88,43.34,39.38,79.0,0.29,100.0,0.25,"Snow, Rain, Overcast"
2023-03-15,26.78,42.8,34.88,68.2,0.0,0.0,0.1,Partially cloudy
2023-03-16,15.44,39.74,27.5,72.1,0.0,0.0,0.0,Clear
2023-03-17,13.46,45.68,30.74,65.8,0.0,0.0,0.0,Clear
2023-03-18,16.34,46.4,32.72,67.1,0.0,0.0,0.0,Partially cloudy
2023-03-19,31.28,38.66,35.78,82.0,0.16,100.0,0.13,"Snow, Rain, Overcast"
2023-03-20,27.32,42.62,35.42,60.6,0.07,100.0,0.1,"Snow, Rain, Partially cloudy"
2023-03-21,18.86,34.7,26.78,82.1,0.11,100.0,0.01,"Snow, Rain, Partially cloudy"
2023-03-22,19.76,37.22,29.3,79.4,0.0,0.0,0.02,Partially cloudy
2023-03-23,26.96,38.48,31.64,75.1,0.01,0.0,0.06,Overcast
2023-03-24,21.56,34.7,28.22,60.1,0.01,0.0,0.05,Partially cloudy
2023-03-25,15.98,35.96,26.06,61.1,0.01,0.0,0.01,Partially cloudy
2023-03-26,13.46,33.62,23.18,58.0,0.01,0.0,0.01,Partially cloudy
2023-03-27,2.12,43.16,26.96,48.7,0.0,0.0,0.0,Clear
2023-03-28,29.12,41.54,34.16,64.9,0.78,100.0,0.12,"Snow, Rain, Partially cloudy"
2023-03-29,19.58,33.26,27.68,74.6,0.19,100.0,0.17,"Snow, Rain, Partially cloudy"
2023-03-30,23.9,39.38,30.74,69.6,0.06,100.0,0.01,"Snow, Rain, Partially cloudy"
2023-03-31,16.52,44.06,31.82,61.9,0.0,0.0,0.0,Clear
2023-04-01,30.02,46.76,37.94,50.7,0.0,0.0,0.0,Partially cloudy
2023-04-02,31.1,43.52,37.4,60.0,0.04,100.0,0.02,"Snow, Rain, Partially cloudy"
2023-04-03,14.36,28.94,23.54,64.0,0.1,100.0,0.14,"Snow, Rain, Partially cloudy"
2023-04-04,13.64,34.7,24.8,55.5,0.0,0.0,0.0,Partially cloudy
2023-04-05,11.48,43.16,27.86,58.2,0.0,0.0,0.0,Clear
2023-04-06,18.32,47.3,34.7,61.4,0.0,0.0,0.0,Partially cloudy
