date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,37.94,42.26,39.74,95.2,0.1,100.0,0.0,"Rain, Overcast"
2022-01-02,30.2,42.8,38.66,88.1,0.1,100.0,0.0,"Snow, Rain, Overcast"
2022-01-03,19.58,28.94,23.36,52.6,0.0,0.0,0.0,Overcast
2022-01-04,13.64,31.28,22.1,43.9,0.0,0.0,0.0,Partially cloudy
2022-01-05,24.8,40.64,32.18,83.9,0.14,100.0,0.0,"Snow, Rain, Overcast"
2022-01-06,29.48,37.58,33.62,66.5,0.0,0.0,0.15,Partially cloudy
2022-01-07,23.0,30.02,28.4,76.3,0.48,100.0,0.24,"Snow, Rain, Overcast"
2022-01-08,11.48,26.42,18.32,55.4,0.0,0.0,0.08,Partially cloudy
2022-01-09,12.92,38.84,31.28,67.6,0.03,100.0,0.0,"Snow, Rain, Overcast"
2022-01-10,19.4,38.84,26.78,44.4,0.0,0.0,0.0,Partially cloudy
2022-01-11,2.84,18.5,7.7,44.4,0.0,0.0,0.0,Partially cloudy
2022-01-12,1.76,33.8,20.84,52.3,0.0,0.0,0.0,Partially cloudy
2022-01-13,28.04,40.82,32.18,63.5,0.0,0.0,0.04,Overcast
2022-01-14,13.1,39.2,30.74,63.3,0.0,0.0,0.0,Partially cloudy
2022-01-15,-0.04,10.58,5.36,37.9,0.0,0.0,0.0,Partially cloudy
2022-01-16,0.86,25.34,12.74,43.3,0.0,0.0,0.05,Partially cloudy
2022-01-17,22.64,47.12,37.22,80.5,1.22,100.0,0.03,"Snow, Rain, Overcast"
2022-01-18,15.44,34.34,25.16,47.9,0.0,0.0,0.0,Partially cloudy
2022-01-19,12.38,44.96,28.76,51.3,0.0,0.0,0.0,Partially cloudy
2022-01-20,15.44,38.48,31.46,55.0,0.01,0.0,0.0,Partially cloudy
2022-01-21,4.82,20.12,12.02,44.4,0.0,0.0,0.0,Partially cloudy
