date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2024-01-01,42.62,60.62,51.26,49.3,0.0,0.0,0.0,Clear
2024-01-02,40.82,60.44,50.36,39.2,0.0,0.0,0.0,Clear
2024-01-03,41.54,51.44,46.4,60.7,0.04,100.0,0.0,"Rain, Partially cloudy"
2024-01-04,42.98,57.56,50.18,45.1,0.0,0.0,0.0,Partially cloudy
2024-01-05,41.0,57.56,49.1,36.1,0.0,0.0,0.0,Clear
2024-01-06,37.58,50.54,44.96,30.1,0.0,0.0,0.0,Partially cloudy
2024-01-07,41.36,49.64,45.32,29.7,0.0,0.0,0.0,Partially cloudy
2024-01-08,36.86,48.38,42.44,23.3,0.0,0.0,0.0,Partially cloudy
2024-01-09,30.92,47.66,38.84,31.3,0.0,0.0,0.0,Partially cloudy
2024-01-10,29.12,48.56,39.74,40.3,0.0,0.0,0.0,Partially cloudy
2024-01-11,36.14,47.84,42.62,37.6,0.01,0.0,0.0,Partially cloudy
2024-01-12,31.1,46.04,38.66,36.9,0.0,0.0,0.0,Partially cloudy
2024-01-13,30.74,50.9,41.18,39.5,0.0,0.0,0.0,Partially cloudy
2024-01-14,34.7,56.3,44.78,38.7,0.0,0.0,0.0,Partially cloudy
2024-01-15,38.48,55.76,45.68,48.2,0.0,0.0,0.0,Partially cloudy
2024-01-16,35.96,58.82,46.76,45.2,0.0,0.0,0.0,Partially cloudy
2024-01-17,40.82,57.02,47.84,44.0,0.0,0.0,0.0,Partially cloudy
2024-01-18,38.84,61.88,49.64,46.9,0.0,0.0,0.0,Partially cloudy
2024-01-19,45.14,61.7,52.52,41.4,0.0,0.0,0.0,Partially cloudy
2024-01-20,47.48,59.18,53.06,49.3,0.0,0.0,0.0,Partially cloudy
2024-01-21,49.1,55.58,51.62,79.9,0.08,100.0,0.0,"Rain, Overcast"
2024-01-22,48.56,53.24,51.08,87.8,0.09,100.0,0.0,"Rain, Overcast"
2024-01-23,49.1,57.38,51.98,79.8,0.01,0.0,0.0,Partially cloudy
2024-01-24,42.98,58.28,51.26,67.2,0.0,0.0,0.0,Partially cloudy
2024-01-25,46.22,64.4,54.14,59.8,0.0,0.0,0.0,Partially cloudy
2024-01-26,45.86,60.44,52.7,34.5,0.0,0.0,0.0,Clear
2024-01-27,41.36,62.96,51.8,40.4,0.0,0.0,0.0,Clear
2024-01-28,45.68,70.34,56.66,46.9,0.0,0.0,0.0,Partially cloudy
2024-01-29,48.2,71.78,58.82,46.6,0.0,0.0,0.0,Clear
2024-01-30,48.02,71.6,58.64,44.8,0.0,0.0,0.0,Clear
2024-01-31,46.94,65.66,57.02,45.1,0.0,0.0,0.0,Clear
2024-02-01,45.86,57.92,52.34,64.9,0.11,100.0,0.0,"Rain, Partially cloudy"
2024-02-02,44.06,56.66,49.46,67.0,0.01,0.0,0.0,Partially cloudy
2024-02-03,40.1,58.1,48.92,54.9,0.0,0.0,0.0,Clear
2024-02-04,46.04,51.08,48.02,70.4,0.07,100.0,0.0,"Rain, Partially cloudy"
2024-02-05,46.22,49.64,48.02,82.0,0.41,100.0,0.0,"Rain, Overcast"
2024-02-06,45.32,49.64,46.94,83.9,0.16,100.0,0.0,"Rain, Partially cloudy"
2024-02-07,43.16,53.96,48.74,63.3,0.0,0.0,0.0,Partially cloudy
2024-02-08,39.56,48.38,44.24,64.3,0.1,100.0,0.04,"Rain, Partially cloudy"
2024-02-09,39.38,51.08,44.6,66.5,0.01,0.0,0.0,Partially cloudy
2024-02-10,41.18,52.7,46.04,48.9,0.02,0.0,0.0,Partially cloudy
2024-02-11,38.48,52.7,45.32,39.5,0.0,0.0,0.0,Clear
2024-02-12,36.5,55.76,45.86,47.5,0.0,0.0,0.0,Clear
2024-02-13,37.76,59.54,48.74,49.9,0.0,0.0,0.0,Clear
2024-02-14,41.54,62.6,52.7,45.9,0.0,0.0,0.0,Partially cloudy
2024-02-15,51.44,64.22,56.84,38.1,0.0,0.0,0.0,Partially cloudy
2024-02-16,47.48,66.02,56.48,45.0,0.0,0.0,0.0,Partially cloudy
2024-02-17,48.02,64.22,56.3,42.4,0.0,0.0,0.0,Partially cloudy
