date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,14.9,32.54,21.2,85.0,0.04,100.0,0.24,"Snow, Rain"
2022-01-02,32.18,34.88,32.72,97.9,1.23,100.0,0.75,"Snow, Rain"
2022-01-03,32.54,37.58,35.24,90.4,0.69,100.0,0.84,"Snow, Rain"
2022-01-04,24.26,32.54,29.66,91.4,0.33,100.0,0.35,"Snow, Rain"
2022-01-05,19.22,24.8,21.2,68.8,0.06,100.0,0.19,Snow
2022-01-06,19.22,30.2,23.18,84.0,0.65,100.0,0.12,"Snow, Rain"
2022-01-07,27.32,35.06,30.02,90.1,0.33,100.0,0.22,"Snow, Rain"
2022-01-08,22.1,28.76,26.42,93.3,0.3,100.0,0.19,"Snow, Rain"
2022-01-09,27.14,35.96,31.1,93.3,0.43,100.0,0.11,"Snow, Rain"
2022-01-10,27.68,34.16,31.46,97.3,0.67,100.0,0.17,"Snow, Rain"
2022-01-11,33.08,41.0,35.6,98.1,1.34,100.0,0.2,"Snow, Rain"
2022-01-12,34.88,38.3,36.5,98.3,1.6,100.0,0.08,"Snow, Rain"
2022-01-13,35.78,42.08,37.76,97.7,0.03,100.0,0.0,Rain
2022-01-14,35.24,39.56,36.86,97.5,0.06,100.0,0.0,Rain
2022-01-15,34.7,39.02,36.14,98.5,0.0,0.0,0.06,Clear
2022-01-16,34.16,39.02,35.6,98.2,0.02,100.0,0.0,"Snow, Rain"
2022-01-17,33.08,40.1,35.78,98.2,0.02,100.0,0.02,"Snow, Rain"
2022-01-18,34.7,41.72,37.04,97.3,0.01,0.0,0.0,Clear
2022-01-19,35.78,40.64,37.4,98.3,0.17,100.0,0.01,Rain
2022-01-20,35.78,47.84,38.3,97.6,0.76,100.0,0.17,Rain
2022-01-21,34.88,39.74,37.04,97.3,0.0,0.0,0.0,Clear
2022-01-22,32.9,44.78,37.04,92.3,0.0,0.0,0.04,Clear
2022-01-23,28.76,38.48,33.26,96.0,0.0,0.0,0.0,Clear
2022-01-24,28.58,37.22,30.92,97.2,0.0,0.0,0.0,Clear
2022-01-25,26.96,42.08,31.64,92.2,0.0,0.0,0.0,Clear
2022-01-26,27.14,44.78,32.54,90.4,0.0,0.0,0.0,Clear
2022-01-27,28.58,47.12,33.8,81.7,0.0,0.0,0.01,Clear
2022-01-28,27.32,45.14,32.18,85.9,0.0,0.0,0.01,Clear
2022-01-29,27.5,35.42,31.64,93.6,0.35,100.0,0.05,"Snow, Rain"
2022-01-30,33.08,36.5,34.88,97.6,1.95,100.0,0.05,"Snow, Rain"
2022-01-31,29.48,42.08,33.62,91.6,0.0,0.0,0.02,Clear
2022-02-01,28.58,39.38,31.64,84.1,0.0,0.0,0.01,Clear
2022-02-02,28.04,31.64,29.84,85.5,0.0,0.0,0.02,Clear
2022-02-03,30.38,35.96,32.72,95.6,0.03,100.0,0.02,"Snow, Rain"
2022-02-04,33.62,41.54,37.4,96.6,0.88,100.0,0.08,"Snow, Rain"
2022-02-05,34.7,41.72,37.4,97.1,0.0,0.0,0.06,Clear
2022-02-06,31.46,47.48,37.04,90.1,0.0,0.0,0.0,Clear
2022-02-07,34.7,50.18,41.0,90.9,0.03,100.0,0.0,Rain
2022-02-08,34.16,42.44,37.4,97.4,0.12,100.0,0.01,"Snow, Rain"
2022-02-09,36.5,44.24,39.2,96.4,0.04,100.0,0.01,Rain
2022-02-10,37.04,46.04,39.56,97.3,0.02,100.0,0.0,Rain
2022-02-11,31.46,50.0,38.48,83.2,0.0,0.0,0.0,Clear
2022-02-12,31.46,55.76,39.56,71.3,0.0,0.0,0.04,Clear
2022-02-13,33.08,53.6,40.28,77.2,0.0,0.0,0.0,Clear
2022-02-14,36.14,47.48,39.2,91.8,0.1,100.0,0.0,Rain
2022-02-15,37.58,44.78,40.1,91.8,0.01,0.0,0.0,Clear
2022-02-16,31.46,49.1,39.38,86.2,0.0,0.0,0.0,Clear
2022-02-17,36.86,47.48,40.64,90.3,0.0,0.0,0.0,Clear
2022-02-18,37.76,48.2,41.9,88.5,0.0,0.0,0.0,Clear
