date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,48.56,70.52,57.74,77.8,0.0,0.0,0.0,Partially cloudy
2023-01-02,45.86,69.44,59.0,83.6,0.06,100.0,0.0,"Rain, Partially cloudy"
2023-01-03,57.38,70.34,64.04,87.1,0.79,100.0,0.0,"Rain, Overcast"
2023-01-04,48.2,67.64,60.98,65.7,0.79,100.0,0.0,"Rain, Partially cloudy"
2023-01-05,38.84,59.9,49.64,54.3,0.0,0.0,0.0,Clear
2023-01-06,33.26,55.4,44.06,58.5,0.0,0.0,0.0,Partially cloudy
2023-01-07,37.58,45.68,42.98,82.7,0.07,100.0,0.0,"Rain, Partially cloudy"
2023-01-08,42.8,53.96,48.74,88.8,0.44,100.0,0.0,"Rain, Overcast"
2023-01-09,36.86,52.52,43.52,73.9,0.0,0.0,0.0,Partially cloudy
2023-01-10,32.0,59.18,42.8,76.6,0.0,0.0,0.0,Partially cloudy
2023-01-11,41.18,60.08,52.88,81.1,0.0,0.0,0.0,Partially cloudy
2023-01-12,47.84,64.94,58.1,84.5,0.5,100.0,0.0,"Rain, Overcast"
2023-01-13,35.42,46.04,39.56,71.8,0.0,0.0,0.0,Overcast
2023-01-14,29.12,41.18,35.24,62.3,0.0,0.0,0.0,Partially cloudy
2023-01-15,28.04,50.36,36.68,61.6,0.0,0.0,0.0,Clear
2023-01-16,29.84,53.6,42.08,65.1,0.01,0.0,0.0,Partially cloudy
2023-01-17,49.1,66.38,55.58,80.8,0.2,100.0,0.0,"Rain, Partially cloudy"
2023-01-18,47.48,66.02,56.84,91.8,0.01,0.0,0.0,Overcast
2023-01-19,49.1,69.44,63.14,54.2,0.19,100.0,0.0,"Rain, Partially cloudy"
2023-01-20,39.02,54.68,45.5,54.4,0.0,0.0,0.0,Partially cloudy
2023-01-21,33.62,50.36,42.44,61.4,0.01,0.0,0.0,Partially cloudy
2023-01-22,42.98,47.12,44.96,90.2,0.31,100.0,0.0,"Rain, Overcast"
2023-01-23,29.66,46.58,40.1,69.1,0.0,0.0,0.0,Partially cloudy
2023-01-24,27.5,53.78,40.82,66.8,0.0,0.0,0.0,Partially cloudy
2023-01-25,40.46,59.54,48.38,73.3,1.02,100.0,0.0,"Rain, Overcast"
2023-01-26,35.24,43.52,40.46,60.7,0.0,0.0,0.0,Partially cloudy
2023-01-27,27.32,51.8,39.56,57.0,0.0,0.0,0.0,Clear
2023-01-28,30.56,58.82,45.14,51.8,0.0,0.0,0.0,Partially cloudy
2023-01-29,45.86,51.44,47.66,76.8,0.33,100.0,0.0,"Rain, Overcast"
2023-01-30,47.48,57.2,51.44,91.3,0.27,100.0,0.0,"Rain, Overcast"
2023-01-31,46.04,52.7,49.46,94.1,0.5,100.0,0.0,"Rain, Overcast"
2023-02-01,38.84,44.42,41.72,81.6,0.04,100.0,0.0,"Rain, Overcast"
2023-02-02,39.92,43.34,41.54,90.6,0.72,100.0,0.0,"Rain, Overcast"
2023-02-03,31.1,43.7,37.22,54.8,0.0,0.0,0.0,Clear
2023-02-04,26.24,51.98,39.02,49.8,0.0,0.0,0.0,Partially cloudy
2023-02-05,32.36,61.34,46.04,59.4,0.0,0.0,0.0,Partially cloudy
2023-02-06,32.72,64.04,47.66,61.8,0.0,0.0,0.0,Partially cloudy
2023-02-07,37.04,69.08,52.88,58.3,0.0,0.0,0.0,Partially cloudy
2023-02-08,50.36,66.2,56.84,77.9,0.02,100.0,0.0,"Rain, Overcast"
2023-02-09,52.34,69.8,60.98,70.3,0.01,0.0,0.0,Partially cloudy
2023-02-10,39.02,59.18,49.46,62.6,0.0,0.0,0.0,Partially cloudy
2023-02-11,42.62,49.64,45.86,67.1,0.14,100.0,0.0,"Rain, Partially cloudy"
2023-02-12,34.88,48.2,41.72,82.9,0.61,100.0,0.0,"Rain, Partially cloudy"
2023-02-13,28.58,64.58,44.78,67.6,0.0,0.0,0.0,Partially cloudy
2023-02-14,35.42,69.44,52.88,58.7,0.0,0.0,0.0,Partially cloudy
2023-02-15,56.48,63.14,59.72,79.0,0.02,0.0,0.0,Overcast
2023-02-16,57.74,72.68,64.94,80.9,1.0,100.0,0.0,"Rain, Overcast"
2023-02-17,32.36,62.78,41.36,71.2,0.46,100.0,0.0,"Rain, Overcast"
2023-02-18,28.76,54.86,39.92,56.8,0.0,0.0,0.0,Partially cloudy
2023-02-19,41.36,61.88,52.52,42.7,0.0,0.0,0.0,Partially cloudy
2023-02-20,51.98,64.76,58.46,60.1,0.01,0.0,0.0,Partially cloudy
2023-02-21,52.16,71.06,62.96,70.7,0.41,100.0,0.0,"Rain, Partially cloudy"
2023-02-22,62.6,80.96,71.42,64.0,0.0,0.0,0.0,Partially cloudy
2023-02-23,66.2,79.34,72.5,73.8,0.11,100.0,0.0,"Rain, Partially cloudy"
2023-02-24,49.46,67.64,57.38,65.1,0.13,100.0,0.0,"Rain, Overcast"
2023-02-25,50.54,57.74,54.86,90.2,0.18,100.0,0.0,"Rain, Overcast"
2023-02-26,54.5,64.76,58.82,84.7,0.02,100.0,0.0,"Rain, Overcast"
2023-02-27,53.42,73.76,63.86,76.1,0.29,100.0,0.0,"Rain, Partially cloudy"
2023-02-28,46.58,77.36,62.78,50.2,0.0,0.0,0.0,Clear
2023-03-01,48.92,74.48,63.14,72.8,0.13,100.0,0.0,"Rain, Partially cloudy"
2023-03-02,57.74,66.38,60.62,90.9,1.11,100.0,0.0,"Rain, Overcast"
2023-03-03,58.1,72.68,64.58,73.0,0.47,100.0,0.0,"Rain, Partially cloudy"
2023-03-04,46.22,64.4,54.14,58.9,0.0,0.0,0.0,Partially cloudy
2023-03-05,39.92,71.6,55.04,60.8,0.0,0.0,0.0,Clear
2023-03-06,44.24,77.9,61.16,57.4,0.0,0.0,0.0,Partially cloudy
2023-03-07,52.34,76.46,62.6,51.5,0.0,0.0,0.0,Partially cloudy
2023-03-08,46.58,62.6,53.78,33.6,0.0,0.0,0.0,Partially cloudy
2023-03-09,49.1,57.56,53.42,47.5,0.01,0.0,0.0,Overcast
2023-03-10,44.42,61.16,53.06,67.9,0.06,100.0,0.0,"Rain, Partially cloudy"
2023-03-11,37.76,57.56,46.94,59.2,0.45,100.0,0.0,"Rain, Partially cloudy"
2023-03-12,46.22,52.16,49.46,88.8,0.72,100.0,0.0,"Rain, Overcast"
2023-03-13,35.42,50.72,43.34,62.4,0.0,0.0,0.0,Partially cloudy
2023-03-14,33.44,46.22,38.3,50.1,0.0,0.0,0.0,Partially cloudy
2023-03-15,29.48,56.84,41.36,47.9,0.0,0.0,0.0,Clear
2023-03-16,31.46,68.0,50.0,48.0,0.0,0.0,0.0,Partially cloudy
2023-03-17,38.84,60.62,52.52,74.6,0.39,100.0,0.0,"Rain, Partially cloudy"
2023-03-18,33.98,51.26,42.08,49.9,0.0,0.0,0.0,Partially cloudy
2023-03-19,27.32,39.92,33.26,44.8,0.0,0.0,0.0,Partially cloudy
2023-03-20,24.8,53.24,37.94,44.1,0.0,0.0,0.0,Partially cloudy
2023-03-21,30.38,60.8,47.84,44.9,0.0,0.0,0.0,Partially cloudy
2023-03-22,45.86,56.48,51.08,81.9,1.09,100.0,0.0,"Rain, Overcast"
2023-03-23,48.56,81.86,64.04,69.2,0.0,0.0,0.0,Partially cloudy
2023-03-24,58.1,78.62,70.34,63.4,0.0,0.0,0.0,Partially cloudy
2023-03-25,58.1,78.8,68.54,60.8,0.72,100.0,0.0,"Rain, Partially cloudy"
2023-03-26,51.98,78.98,65.3,58.0,0.03,100.0,0.0,"Rain, Partially cloudy"
2023-03-27,60.44,77.72,68.72,57.0,0.0,0.0,0.0,Partially cloudy
2023-03-28,49.28,66.56,58.1,50.4,0.0,0.0,0.0,Partially cloudy
2023-03-29,38.48,64.4,51.62,45.0,0.0,0.0,0.0,Clear
2023-03-30,37.76,71.96,55.58,47.9,0.0,0.0,0.0,Clear
2023-03-31,52.88,71.96,63.14,61.8,0.06,100.0,0.0,"Rain, Partially cloudy"
2023-04-01,54.86,79.34,69.8,48.4,0.37,100.0,0.0,"Rain, Partially cloudy"
2023-04-02,42.62,69.62,54.86,48.9,0.0,0.0,0.0,Clear
2023-04-03,50.54,60.98,55.76,76.8,0.15,100.0,0.0,"Rain, Partially cloudy"
2023-04-04,58.46,80.78,68.18,76.4,0.0,0.0,0.0,Partially cloudy
2023-04-05,68.0,88.16,76.64,61.6,0.03,100.0,0.0,"Rain, Partially cloudy"
2023-04-06,59.54,77.54,68.9,70.2,0.0,0.0,0.0,Partially cloudy
2023-04-07,50.9,58.64,54.68,85.3,0.34,100.0,0.0,"Rain, Overcast"
2023-04-08,50.0,51.08,50.54,89.4,0.82,100.0,0.0,"Rain, Overcast"
2023-04-09,45.14,68.0,55.04,70.4,0.0,0.0,0.0,Partially cloudy
2023-04-10,43.16,69.98,57.02,55.0,0.0,0.0,0.0,Clear
2023-04-11,41.54,74.48,57.92,54.9,0.0,0.0,0.0,Clear
2023-04-12,43.16,78.8,60.98,55.6,0.0,0.0,0.0,Clear
