date,tempmin,tempmax,tempavg,humidity
2024-01-01,31.28,41.54,35.24,95.2
2024-01-02,30.38,44.42,37.94,89.7
2024-01-03,36.32,56.66,45.32,74.9
2024-01-04,35.6,45.68,40.64,95.6
2024-01-05,34.52,41.18,38.12,98.4
2024-01-06,35.78,37.58,36.5,99.0
2024-01-07,33.44,37.58,35.78,97.5
2024-01-08,27.68,33.08,29.66,85.7
2024-01-09,26.24,31.28,28.94,83.1
2024-01-10,28.94,35.24,30.92,93.8
2024-01-11,29.48,32.9,31.28,91.8
2024-01-12,25.34,32.18,29.12,88.1
2024-01-13,24.44,31.64,27.32,94.0
2024-01-14,21.92,32.72,27.68,94.4
2024-01-15,32.36,39.92,35.42,83.2
2024-01-16,26.24,34.34,31.28,79.2
2024-01-17,31.82,43.52,37.58,96.8
2024-01-18,32.18,48.74,41.54,97.1
2024-01-19,23.9,31.64,28.22,91.9
2024-01-20,15.98,27.68,21.2,90.6
2024-01-21,18.32,32.36,25.52,96.9
2024-01-22,22.64,39.92,32.18,95.8
2024-01-23,33.98,44.24,40.82,88.3
2024-01-24,39.38,54.86,44.96,91.4
2024-01-25,44.78,51.98,47.66,91.7
2024-01-26,38.66,47.12,43.16,96.7
2024-01-27,35.42,46.04,41.18,92.5
2024-01-28,28.76,44.24,34.52,88.0
2024-01-29,30.02,46.94,35.78,88.1
2024-01-30,30.92,47.48,37.4,87.8
2024-01-31,31.46,48.38,37.4,87.9
2024-02-01,31.82,42.08,37.22,97.3
2024-02-02,35.42,43.88,39.2,98.7
2024-02-03,31.46,52.7,39.02,89.9
2024-02-04,31.82,51.98,39.02,86.8
2024-02-05,32.54,52.88,39.56,85.3
2024-02-06,31.46,49.28,38.12,81.5
2024-02-07,30.56,46.58,37.94,90.0
2024-02-08,39.38,51.98,44.24,95.5
2024-02-09,42.08,48.74,45.68,98.2
2024-02-10,39.38,51.62,44.96,92.6
2024-02-11,39.2,49.1,43.52,82.3
2024-02-12,36.14,47.3,42.44,83.3
2024-02-13,30.38,50.0,40.1,79.0
2024-02-14,29.84,54.68,41.18,71.3
2024-02-15,35.96,52.34,43.52,81.4
2024-02-16,38.12,55.94,46.76,82.9
2024-02-17,44.78,56.48,50.0,89.5
2024-02-18,40.64,53.24,48.02,88.8
2024-02-19,44.24,51.08,46.94,87.9
