date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2022-01-01,35.24,47.3,42.08,26.1,0.0,0.0,0.0,Clear
2022-01-02,27.14,46.4,36.5,34.4,0.0,0.0,0.0,Clear
2022-01-03,28.94,48.92,39.02,32.8,0.0,0.0,0.0,Clear
2022-01-04,33.08,54.86,42.98,34.1,0.0,0.0,0.0,Clear
2022-01-05,35.24,57.56,45.86,35.7,0.0,0.0,0.0,Clear
2022-01-06,39.02,61.88,49.1,43.2,0.0,0.0,0.0,Clear
2022-01-07,38.66,63.14,51.8,45.0,0.0,0.0,0.0,Clear
2022-01-08,47.12,64.4,55.4,31.9,0.0,0.0,0.0,Clear
2022-01-09,44.78,61.52,51.8,30.2,0.0,0.0,0.0,Clear
2022-01-10,39.92,60.08,49.1,29.6,0.0,0.0,0.0,Clear
2022-01-11,39.02,61.34,49.28,26.5,0.0,0.0,0.0,Clear
2022-01-12,41.72,65.12,52.16,27.6,0.0,0.0,0.0,Clear
2022-01-13,42.98,63.5,52.88,32.3,0.0,0.0,0.0,Partially cloudy
2022-01-14,47.3,67.28,57.02,27.3,0.0,0.0,0.0,Partially cloudy
2022-01-15,43.52,59.72,51.44,30.1,0.0,0.0,0.0,Clear
2022-01-16,37.22,61.7,48.56,29.8,0.0,0.0,0.0,Clear
2022-01-17,41.0,60.44,49.82,28.6,0.0,0.0,0.0,Partially cloudy
2022-01-18,45.5,59.54,51.62,55.6,0.03,100.0,0.0,"Rain, Partially cloudy"
2022-01-19,41.9,63.68,51.98,47.6,0.0,0.0,0.0,Clear
2022-01-20,45.14,61.7,53.06,30.8,0.0,0.0,0.0,Clear
2022-01-21,40.46,60.62,50.36,32.7,0.0,0.0,0.0,Partially cloudy
2022-01-22,47.66,62.42,54.32,24.0,0.0,0.0,0.0,Partially cloudy
2022-01-23,46.04,62.24,53.96,21.8,0.0,0.0,0.0,Clear
2022-01-24,44.6,65.12,53.06,26.9,0.0,0.0,0.0,Clear
2022-01-25,44.42,60.26,52.52,25.3,0.0,0.0,0.0,Clear
2022-01-26,37.76,56.48,46.94,29.0,0.0,0.0,0.0,Clear
2022-01-27,38.66,62.78,50.0,19.0,0.0,0.0,0.0,Clear
2022-01-28,37.58,60.44,48.74,15.8,0.0,0.0,0.0,Clear
2022-01-29,37.4,60.8,49.46,17.1,0.0,0.0,0.0,Clear
2022-01-30,39.74,64.58,51.8,16.3,0.0,0.0,0.0,Clear
2022-01-31,37.58,56.48,47.84,21.0,0.0,0.0,0.0,Partially cloudy
2022-02-01,45.14,59.36,51.44,19.7,0.0,0.0,0.0,Clear
2022-02-02,37.04,49.64,43.7,17.1,0.0,0.0,0.0,Clear
2022-02-03,33.08,54.14,42.98,22.0,0.0,0.0,0.0,Clear
2022-02-04,34.52,55.94,45.14,27.1,0.0,0.0,0.0,Clear
2022-02-05,35.24,62.6,48.56,23.6,0.0,0.0,0.0,Clear
2022-02-06,47.3,66.02,55.94,17.4,0.0,0.0,0.0,Clear
2022-02-07,42.44,65.12,53.24,20.5,0.0,0.0,0.0,Clear
2022-02-08,42.44,74.48,57.56,19.3,0.0,0.0,0.0,Clear
2022-02-09,50.0,75.38,62.78,16.1,0.0,0.0,0.0,Clear
2022-02-10,55.94,75.02,64.58,24.7,0.0,0.0,0.0,Clear
2022-02-11,52.16,78.98,64.94,22.3,0.0,0.0,0.0,Clear
2022-02-12,49.28,72.32,59.9,18.3,0.0,0.0,0.0,Clear
2022-02-13,41.9,71.78,56.12,17.6,0.0,0.0,0.0,Clear
2022-02-14,42.98,70.16,57.74,15.7,0.0,0.0,0.0,Clear
2022-02-15,55.94,65.66,61.88,21.9,0.0,0.0,0.0,Partially cloudy
2022-02-16,50.18,65.12,56.84,25.4,0.0,0.0,0.0,Partially cloudy
2022-02-17,45.32,61.34,52.7,20.6,0.0,0.0,0.0,Clear
2022-02-18,41.54,66.56,53.78,18.4,0.0,0.0,0.0,Clear
2022-02-19,44.24,68.9,56.12,22.1,0.0,0.0,0.0,Clear
2022-02-20,42.44,71.42,58.1,20.7,0.0,0.0,0.0,Clear
2022-02-21,52.7,67.28,61.34,18.3,0.0,0.0,0.0,Clear
2022-02-22,44.24,57.74,49.82,33.2,0.0,0.0,0.0,Partially cloudy
2022-02-23,37.22,49.1,43.52,41.2,0.01,0.0,0.01,Partially cloudy
2022-02-24,32.54,51.08,41.72,28.6,0.0,0.0,0.0,Clear
2022-02-25,36.68,56.48,45.68,21.5,0.0,0.0,0.0,Clear
2022-02-26,36.68,56.48,46.04,20.9,0.0,0.0,0.0,Clear
2022-02-27,35.78,62.78,49.28,17.3,0.0,0.0,0.0,Clear
2022-02-28,41.36,73.94,57.74,13.7,0.0,0.0,0.0,Clear
2022-03-01,45.86,77.9,60.98,15.8,0.0,0.0,0.0,Clear
2022-03-02,46.58,79.34,62.96,16.3,0.0,0.0,0.0,Clear
2022-03-03,52.34,78.44,65.48,15.3,0.0,0.0,0.0,Partially cloudy
2022-03-04,53.6,66.02,60.08,27.9,0.0,0.0,0.0,Partially cloudy
2022-03-05,46.4,55.22,52.34,31.8,0.0,0.0,0.0,Partially cloudy
2022-03-06,41.72,61.88,52.16,33.5,0.0,0.0,0.0,Partially cloudy
2022-03-07,44.96,59.18,51.26,20.3,0.0,0.0,0.0,Clear
2022-03-08,41.72,61.52,51.98,20.6,0.0,0.0,0.0,Clear
2022-03-09,43.88,71.06,58.46,21.3,0.0,0.0,0.0,Partially cloudy
2022-03-10,45.32,59.54,52.88,22.6,0.0,0.0,0.0,Partially cloudy
2022-03-11,38.84,62.6,50.36,13.0,0.0,0.0,0.0,Clear
2022-03-12,39.56,69.8,55.04,14.4,0.0,0.0,0.0,Clear
2022-03-13,43.34,72.68,58.1,16.6,0.0,0.0,0.0,Clear
2022-03-14,53.06,70.52,62.06,18.8,0.0,0.0,0.0,Clear
2022-03-15,48.56,76.28,62.96,21.3,0.0,0.0,0.0,Clear
2022-03-16,59.9,77.0,67.64,24.1,0.0,0.0,0.0,Partially cloudy
2022-03-17,53.78,69.44,61.34,18.5,0.0,0.0,0.0,Clear
2022-03-18,47.12,75.38,61.34,16.0,0.0,0.0,0.0,Clear
2022-03-19,51.62,79.34,64.58,16.6,0.0,0.0,0.0,Partially cloudy
2022-03-20,54.68,71.42,62.6,23.3,0.0,0.0,0.0,Partially cloudy
2022-03-21,50.54,72.68,61.34,14.2,0.0,0.0,0.0,Clear
2022-03-22,55.94,77.18,65.48,22.1,0.0,0.0,0.0,Clear
2022-03-23,53.6,77.0,65.66,18.3,0.0,0.0,0.0,Clear
2022-03-24,53.42,84.56,68.54,15.5,0.0,0.0,0.0,Clear
2022-03-25,57.2,90.32,74.3,16.5,0.0,0.0,0.0,Clear
2022-03-26,60.62,92.3,77.54,13.4,0.0,0.0,0.0,Clear
2022-03-27,61.7,87.98,75.74,12.1,0.0,0.0,0.0,Clear
2022-03-28,54.68,79.7,69.98,24.5,0.07,100.0,0.0,"Rain, Partially cloudy"
2022-03-29,51.08,74.12,62.42,50.1,0.0,0.0,0.0,Partially cloudy
2022-03-30,56.84,78.8,69.08,25.1,0.0,0.0,0.0,Clear
2022-03-31,58.28,78.98,69.26,23.9,0.0,0.0,0.0,Partially cloudy
2022-04-01,60.44,80.96,70.7,20.5,0.0,0.0,0.0,Clear
2022-04-02,58.46,84.74,72.32,21.3,0.0,0.0,0.0,Clear
2022-04-03,62.78,80.42,72.32,20.8,0.0,0.0,0.0,Partially cloudy
