date,tempmin_f,tempmax_f,tempavg_f,humidity_pct,precip_inches,precip_probability_pct,snow_inches,conditions
2023-01-01,21.02,27.86,25.16,75.2,0.33,100.0,0.55,"Snow, Overcast"
2023-01-02,3.38,28.22,16.34,71.8,0.32,100.0,0.04,"Snow, Partially cloudy"
2023-01-03,12.92,37.76,24.44,62.5,0.12,100.0,0.1,"Snow, Rain, Partially cloudy"
2023-01-04,21.02,38.84,30.92,70.1,0.35,100.0,0.01,"Snow, Rain, Partially cloudy"
2023-01-05,27.86,33.8,31.28,83.5,1.68,100.0,0.8,"Snow, Rain, Overcast"
2023-01-06,11.66,28.22,18.68,66.1,0.02,100.0,0.04,Snow
2023-01-07,6.08,39.92,25.52,60.2,0.02,100.0,0.0,"Snow, Rain, Partially cloudy"
2023-01-08,28.76,34.16,32.18,67.9,0.75,100.0,0.45,"Snow, Rain, Partially cloudy"
2023-01-09,30.2,35.96,33.26,89.7,3.35,100.0,0.89,"Snow, Rain, Overcast"
2023-01-10,18.5,36.32,27.86,86.9,0.18,100.0,0.84,"Snow, Rain, Overcast"
2023-01-11,8.6,31.82,22.64,82.6,0.06,0.0,0.13,Partially cloudy
2023-01-12,14.9,32.9,24.44,83.4,0.0,0.0,0.0,Partially cloudy
2023-01-13,25.34,36.14,31.28,71.0,0.02,0.0,0.08,Partially cloudy
2023-01-14,28.22,35.42,31.28,79.4,0.22,100.0,0.47,"Snow, Rain, Overcast"
2023-01-15,20.48,29.66,25.34,69.6,0.09,100.0,0.43,"Snow, Rain, Partially cloudy"
2023-01-16,20.48,29.66,25.16,82.2,0.09,100.0,0.79,"Snow, Rain, Overcast"
2023-01-17,5.36,30.02,18.32,74.6,0.01,0.0,0.0,Partially cloudy
2023-01-18,-4.0,24.62,11.48,66.6,0.0,0.0,0.0,Partially cloudy
2023-01-19,4.1,27.32,20.84,66.8,0.09,100.0,0.11,"Snow, Partially cloudy"
2023-01-20,-4.72,23.18,6.62,67.7,0.0,0.0,0.0,Clear
2023-01-21,-10.3,23.72,6.62,68.8,0.0,0.0,0.0,Clear
2023-01-22,7.34,32.54,22.28,59.0,0.0,0.0,0.0,Partially cloudy
2023-01-23,6.44,27.86,16.88,63.3,0.0,0.0,0.0,Partially cloudy
2023-01-24,1.76,30.38,15.26,60.1,0.0,0.0,0.0,Clear
2023-01-25,6.98,35.06,17.24,67.3,0.0,0.0,0.0,Clear
2023-01-26,5.72,27.86,14.9,69.9,0.0,0.0,0.0,Clear
2023-01-27,-0.22,36.5,17.6,59.7,0.0,0.0,0.0,Clear
2023-01-28,2.3,36.86,17.42,61.7,0.0,0.0,0.0,Clear
